API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4220334050,5.5,Casing,17,1255,,10450,5290,7.875,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4220334050,16,Casing,65,0,,60,,,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4220334050,8.625,Casing,32,330,,1104,,11,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4231136550,13.375,Casing,,629,,607,0,17.5,6216edf4-7996-46b8-963f-c2b10ec05055
4231136550,9.625,Casing,,1582,,7358,0,12.25,6216edf4-7996-46b8-963f-c2b10ec05055
4231136550,5.5,Casing,,2551,,17806,6370,8.5,6216edf4-7996-46b8-963f-c2b10ec05055
4231136550,13.375,Casing,,629,,606,0,17.5,6216edf4-7996-46b8-963f-c2b10ec05055
4231136546,13.375,Casing,,548,,607,0,17.5,abe340bc-077a-41ad-9dcb-caccf1edd7e2
4231136546,9.625,Casing,,1685,,7348,0,12.25,abe340bc-077a-41ad-9dcb-caccf1edd7e2
4231136546,5.5,Casing,,2532,,17838,5719,8.5,abe340bc-077a-41ad-9dcb-caccf1edd7e2
4230132921,9.625,Casing,,1510,,5210,0,12.25,8d84ac1b-6401-41fc-b2aa-da7305ab9956
4223536162,8.625,Casing,,260,,848,,11,3cf2f3f7-2b95-4353-b706-e7867db08da2
4230132955,9.625,Casing,,1275,,5438,931,12.25,4ab7f53a-b6ad-432e-ae2d-81638db33966
4238935270,9.625,Casing,,666,,4766,0,10.66667,aacd900c-819e-486d-a5aa-a336aaa492b0
4210933034,9.625,Casing,,1530,,7545,0,12.25,25a3ebbe-4017-4336-a1d4-eacb0d53e34c
4210731102,5.5,Casing,15.5,900,,4441,0,7.875,389fd458-8fd8-47b4-bbad-63cb461fd074
4210731102,8.625,Casing,24,675,,1231,0,12.25,389fd458-8fd8-47b4-bbad-63cb461fd074
4246140434,8.625,Casing,,530,,3567,0,11,4471ef3d-a131-4b3b-8bf7-18420de56e9a
4246140434,5.5,Casing,,664,,8400,3730,7.875,4471ef3d-a131-4b3b-8bf7-18420de56e9a
4246140434,13.375,Casing,,650,,669,0,17.5,4471ef3d-a131-4b3b-8bf7-18420de56e9a
4247943608,8.625,Casing,,430,,1515,0,11,4eaed877-41b7-4a6b-b87b-703cc8675c65
4247943608,4.5,Casing,,1220,,7027,0,7.875,4eaed877-41b7-4a6b-b87b-703cc8675c65
4216534545,5.5,Casing,17,1500,6/1/1993 12:00:00 AM,7300,0,7.875,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,8.625,Casing,24,800,6/1/1993 12:00:00 AM,1738,0,12.25,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4223933589,5.5,Casing,15,1095,,8002,1700,7.875,678fab5a-b688-49a9-9d0d-eac1bfa80c82
4223933589,9.625,Casing,12.5,520,,1700,,12,678fab5a-b688-49a9-9d0d-eac1bfa80c82
3002541378,,Hole 1,0,0,7/18/2014 12:00:00 AM,1888,0,17.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Hole 4,0,0,8/21/2014 12:00:00 AM,16497,11928,8.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Production Casing,17,2250,8/24/2014 12:00:00 AM,16477,0,5.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Hole 3,0,0,,16477,6126,8.75,35b7a95e-6175-4f2a-9d56-afc01e0ec300
