API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
4223534170,3/1/2013 12:00:00 AM,BROOKS (CANYON K),CANYON K,235883,"TXP, INCORPORATED",CANYON K,1,0,0,1,0,214e47c9-6260-41c3-9d02-38bd241c1409
4223534170,1/1/2013 12:00:00 AM,BROOKS (CANYON K),CANYON K,235883,"TXP, INCORPORATED",CANYON K,1,0,0,1,0,214e47c9-6260-41c3-9d02-38bd241c1409
4223534170,2/1/2013 12:00:00 AM,BROOKS (CANYON K),CANYON K,235883,"TXP, INCORPORATED",CANYON K,1,0,0,1,0,214e47c9-6260-41c3-9d02-38bd241c1409
4216534545,5/1/2006 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,9/1/2000 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,SANTA FE SNYDER CORPORATION,CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,5/1/2001 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON SFS OPERATING, INC.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,11/1/2005 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,5/1/2011 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,12/1/2004 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,6/1/2005 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,5/1/1998 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"SANTA FE ENERGY RESOURCES, INC.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,2/1/2003 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,1/1/2003 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
4216534545,1/1/2005 12:00:00 AM,"JENKINS, NORTH (CLEAR FORK)",CLEAR FORK,66849,"DEVON ENERGY PRODUCTION CO, L.P.",CLEAR FORK,1,0,0,,0,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14
