API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4247937411,,9620,,,9636,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247937411,,9725,,,9715,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247937411,,9690,,,9680,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247937411,,9503,,,9490,d040dccb-94db-4e7d-9cf0-85a51182c0e0
4247943000,,16660,,,10609,a4d3cace-3ab1-4244-89d0-a9f60498c690
4213138979,,9430,,,9422,3ac18c1e-e2db-4022-a44b-c2d1290acd5c
4247940725,,11444,,,11414,2bbcc2c1-ec65-40d2-8c7b-c81be28afa42
4230132298,,0,,,0,4223e1d1-5fcc-4410-acbb-3e7c8c840dc3
4230132298,,16256,,,11120,4223e1d1-5fcc-4410-acbb-3e7c8c840dc3
4200730825,,11074,,,11036,b5e87e73-756a-45ea-99fc-7268ad40aff5
4200730825,,10932,,,10913,b5e87e73-756a-45ea-99fc-7268ad40aff5
4231136355,,15769,,,11896,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4205133985,,15569,,,9738,53970f1f-3450-4bf3-baf1-19a4a34a78d2
4222738451,,9898,,,7185,947d2b0b-ba54-4871-8842-889e3924411b
4222738451,,9898,,,8040,947d2b0b-ba54-4871-8842-889e3924411b
4246140434,,7860,,,7856,4471ef3d-a131-4b3b-8bf7-18420de56e9a
4246140434,,7970,,,7963,4471ef3d-a131-4b3b-8bf7-18420de56e9a
4211533737,,8043,,,8038,46d3a6ae-b94a-4180-816f-4252c69501b0
4211533737,,7947,,,7942,46d3a6ae-b94a-4180-816f-4252c69501b0
4211533737,,8025,,,8020,46d3a6ae-b94a-4180-816f-4252c69501b0
4211533737,,7989,,,7984,46d3a6ae-b94a-4180-816f-4252c69501b0
4239532002,,10565,,,7318,63a03821-2b8b-45d1-903c-b6820227c5b2
4239332695,,12840,,,8520,e430993d-d98c-4851-ad77-cb3f5ef81bdd
4210731102,,4217,,,4170,389fd458-8fd8-47b4-bbad-63cb461fd074
4210731102,,4262,,,4236,389fd458-8fd8-47b4-bbad-63cb461fd074
