WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
d59437cb-0076-4957-b5a4-700f621fa957,4239532008,2/1/2018 12:00:00 AM,0,508127,0,Texas,ROBERTSON,,"TANOS EXPLORATION II, LLC",28,0,18147,0
d59437cb-0076-4957-b5a4-700f621fa957,4239532008,1/1/2018 12:00:00 AM,0,548185,0,Texas,ROBERTSON,,"TANOS EXPLORATION II, LLC",31,0,17683,0
c8efa021-3c0d-4657-92eb-8fbf2c0cc5ba,4237139543,12/1/2017 12:00:00 AM,3585,4371,0,Texas,PECOS,,"HALCON OPERATING CO., INC.",0,0,0,0
c8efa021-3c0d-4657-92eb-8fbf2c0cc5ba,4237139543,2/1/2018 12:00:00 AM,15276,14430,0,Texas,PECOS,,"HALCON OPERATING CO., INC.",28,546,515,0
c55a568e-a325-47a8-a5b9-8ce1c3cc5239,4241332985,1/1/2018 12:00:00 AM,0,5311,0,Texas,SCHLEICHER,KIM (HARKEY),"CHOLLA PETROLEUM, INC.",20,0,265,0
c55a568e-a325-47a8-a5b9-8ce1c3cc5239,4241332985,3/1/2018 12:00:00 AM,0,15208,0,Texas,SCHLEICHER,KIM (HARKEY),"CHOLLA PETROLEUM, INC.",31,0,490,0
9b8112e9-217b-4c1d-9329-4c42dcedf676,4237139542,2/1/2018 12:00:00 AM,0,0,38630,Texas,PECOS,HOEFS T-K (WOLFCAMP),"CRIMSON EXPLORATION OPER., INC.",28,150,364,1379
9b8112e9-217b-4c1d-9329-4c42dcedf676,4237139542,12/1/2017 12:00:00 AM,0,0,0,Texas,PECOS,HOEFS T-K (WOLFCAMP),"CRIMSON EXPLORATION OPER., INC.",19,248,569,0
3307bf4b-19ae-473f-beb2-d59d99605f3c,4231331345,1/1/2018 12:00:00 AM,1385,3576,0,Texas,MADISON,,"BURK ROYALTY CO., LTD.",31,45,115,0
3307bf4b-19ae-473f-beb2-d59d99605f3c,4231331345,12/1/2017 12:00:00 AM,1701,4670,0,Texas,MADISON,,"BURK ROYALTY CO., LTD.",0,0,0,0
3307bf4b-19ae-473f-beb2-d59d99605f3c,4231331345,11/1/2017 12:00:00 AM,2233,6828,0,Texas,MADISON,,"BURK ROYALTY CO., LTD.",30,74,228,0
5db090c7-de71-4970-883d-ea4b2b9ee665,4200530410,2/1/2018 12:00:00 AM,0,375467,0,Texas,ANGELINA,,BP AMERICA PRODUCTION COMPANY,28,0,13410,0
5db090c7-de71-4970-883d-ea4b2b9ee665,4200530410,12/1/2017 12:00:00 AM,0,180134,0,Texas,ANGELINA,,BP AMERICA PRODUCTION COMPANY,0,0,0,0
