Api,Wellid,Reservoir,Cumulativeoil,Cumulativegas,Cumulativeboe,Cumulativewater,Cumulativedays,Firstproddate,Lastproddate,Lasttestdate,Ipoil,Ipgas,Firstthreemonthoil,Firstthreemonthmaxoil,Firstthreemonthoildecline,Firstthreemonthgas,Firstthreemonthmaxgas,Firstthreemonthgasdecline,Firstthreemonthboe,Firstthreemonthmaxboe,Firstthreemonthboedecline,Firstthreemonthwater,Firstthreemonthmaxwater,Firstthreemonthwaterdecline,Firstthreemonthdays,Firstsixmonthoil,Firstsixmonthoildecline,Firstsixmonthgas,Firstsixmonthgasdecline,Firstsixmonthboe,Firstsixmonthboedecline,Firstsixmonthwater,Firstsixmonthwaterdecline,Firstsixmonthdays,Firsttwelvemonthoil,Firsttwelvemonthoildecline,Firsttwelvemonthgas,Firsttwelvemonthgasdecline,Firsttwelvemonthboe,Firsttwelvemonthboedecline,Firsttwelvemonthwater,Firsttwelvemonthwaterdecline,Firsttwelvemonthdays,Firsttwentyfourmonthoil,Firsttwentyfourmonthoildecline,Firsttwentyfourmonthgas,Firsttwentyfourmonthgasdecline,Firsttwentyfourmonthboe,Firsttwentyfourmonthboedecline,Firsttwentyfourmonthwater,Firsttwentyfourmonthwaterdecline,Firsttwentyfourmonthdays,Firstthirtysixmonthoil,Firstthirtysixmonthoildecline,Firstthirtysixmonthgas,Firstthirtysixmonthgasdecline,Firstthirtysixmonthboe,Firstthirtysixmonthboedecline,Firstthirtysixmonthwater,Firstthirtysixmonthwaterdecline,Firstthirtysixmonthdays,Firstsixtymonthoil,Firstsixtymonthoildecline,Firstsixtymonthgas,Firstsixtymonthgasdecline,Firstsixtymonthboe,Firstsixtymonthboedecline,Firstsixtymonthwater,Firstsixtymonthwaterdecline,Firstsixtymonthdays,Maxmonthoil,Maxoilmonthdays,Maxoilmonth,Maxoilmonthnumber,Maxmonthgas,Maxgasmonthdays,Maxgasmonth,Maxgasmonthnumber,Maxmonthboe,Maxboemonthdays,Maxboemonth,Maxboemonthnumber,Maxmonthwater,Maxwatermonthdays,Maxwatermonth,Maxwatermonthnumber,Maxthreemonthoil,Maxoilthreemonthdays,Maxthreemonthgas,Maxgasthreemonthdays,Maxthreemonthboe,Maxboethreemonthdays,Maxthreemonthwater,Maxwaterthreemonthdays,Maxsixmonthoil,Maxoilsixmonthdays,Maxsixmonthgas,Maxgassixmonthdays,Maxsixmonthboe,Maxboesixmonthdays,Maxsixmonthwater,Maxwatersixmonthdays,Maxtwelvemonthoil,Maxoiltwelvemonthdays,Maxtwelvemonthgas,Maxgastwelvemonthdays,Maxtwelvemonthboe,Maxboetwelvemonthdays,Maxtwelvemonthwater,Maxwatertwelvemonthdays,Lastsixmonthoil,Lastsixmonthoildecline,Lastsixmonthgas,Lastsixmonthgasdecline,Lastsixmonthboe,Lastsixmonthboedecline,Lastsixmonthwater,Lastsixmonthwaterdecline,Lastsixmonthdays,Lasttwelvemonthoil,Lasttwelvemonthoildecline,Lasttwelvemonthgas,Lasttwelvemonthgasdecline,Lasttwelvemonthboe,Lasttwelvemonthboedecline,Lasttwelvemonthwater,Lasttwelvemonthwaterdecline,Lasttwelvemonthdays,Datecreated,Datelastmodified,Totalproducingdays,Totalproducingmonths,Firstmonthoil,Firstmonthgas,Firstmonthwater,Firstmonthboe,Lastmonthoil,Lastmonthgas,Lastmonthwater,Lastmonthboe,Eurboe,Euroil,Eurgas,Eurwater,Firsttwomonthoil,Firsttwomonthmaxoil,Firsttwomonthoildecline,Firsttwomonthgas,Firsttwomonthmaxgas,Firsttwomonthgasdecline,Firsttwomonthboe,Firsttwomonthmaxboe,Firsttwomonthboedecline,Firsttwomonthwater,Firsttwomonthmaxwater,Firsttwomonthwaterdecline,Firsttwomonthdays
05067095330000,80670f49-05f3-422c-81cc-5ab69f799d83,FRLDC,0,6144,1024,1227,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,1/1/2018 12:00:00 AM,1,6144,31,1/1/2018 12:00:00 AM,1,1024,31,1/1/2018 12:00:00 AM,1,1227,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/23/2017 4:11:26 AM,9/23/2017 4:11:26 AM,31,1,0,6144,1227,1024,0,6144,1227,1024,,,,,,,,,,,,,,,,,
05075060630000,c42ab934-aa43-4962-8314-e5dfa9e7542d,JSND,0,0,0,180,28,2/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,2/1/2018 12:00:00 AM,1,0,28,2/1/2018 12:00:00 AM,1,0,28,2/1/2018 12:00:00 AM,1,180,28,2/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/23/2017 2:51:30 AM,9/23/2017 2:51:30 AM,28,1,0,0,180,0,0,0,180,0,,,,,,,,,,,,,,,,,
25101242340000,a9d042fe-679a-4e92-ae00-3ca445aed8ba,Swift,32,0,32,9600,120,1/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,27,,58.3333333333333,0,,0,27,,58.3333333333333,7200,,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,31,3/1/2018 12:00:00 AM,3,0,31,1/1/2018 12:00:00 AM,1,12,31,3/1/2018 12:00:00 AM,3,2400,31,1/1/2018 12:00:00 AM,1,12,31,0,31,12,31,2400,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/26/2018 9:34:42 AM,6/10/2018 9:45:28 AM,120,4,5,0,2400,5,5,0,2400,5,41.1042619231535,41.1042619231535,0,576000,15,,50,0,,0,15,,50,4800,,0,59
25035072030000,588492dd-45e0-4830-b298-273947c9be91,Cut Bank,16,0,16,482,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,16,31,1/1/2018 12:00:00 AM,1,482,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/14/2018 4:23:54 PM,4/22/2018 1:57:45 PM,31,1,16,0,482,16,16,0,482,16,,,,,,,,,,,,,,,,,
25035060820000,fa93193c-7c36-4c08-9378-de679541003d,Cut Bank,16,0,16,0,31,3/1/2018 12:00:00 AM,3/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,31,3/1/2018 12:00:00 AM,1,0,31,3/1/2018 12:00:00 AM,1,16,31,3/1/2018 12:00:00 AM,1,0,31,3/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/28/2018 1:17:35 AM,6/10/2018 8:37:49 AM,31,1,16,0,0,16,16,0,0,16,,,,,,,,,,,,,,,,,
3002541378,35b7a95e-6175-4f2a-9d56-afc01e0ec300,"BONE SPRING, NORTH",25065,33771,30693.5004882813,55337,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,1/28/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18889,28,2/1/2018 12:00:00 AM,2,27242,28,2/1/2018 12:00:00 AM,2,23429.333984375,28,2/1/2018 12:00:00 AM,2,33520,28,2/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 9:56:09 PM,11/17/2017 9:56:09 PM,59,2,6176,6529,21817,7264.16650390625,18889,27242,33520,23429.333984375,,,,,25065,,67.3037217428133,33771,,76.0333308861317,30693.5004882813,,68.9954204043926,55337,,34.9134844868735,59
33061022840000,03d552c8-02e1-4632-8799-6126bb9dcf80,BAKKEN,76412,92159,91771.8359375,68243,61,3/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41052,31,3/1/2018 12:00:00 AM,1,49549,31,3/1/2018 12:00:00 AM,1,49310.16796875,31,3/1/2018 12:00:00 AM,1,41157,31,3/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:25:31 AM,11/21/2017 6:25:31 AM,61,2,41052,49549,41157,49310.16796875,35360,42610,27086,42461.66796875,,,,,76412,,13.8653415180746,92159,,14.0043189569921,91771.8359375,,13.8886162471403,68243,,34.1885948927278,61
33061022860000,8de43b2f-defe-463f-ae0a-6a2cb4bf69cc,BAKKEN,40816,49225,49020.16796875,38987,31,3/1/2018 12:00:00 AM,3/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40816,31,3/1/2018 12:00:00 AM,1,49225,31,3/1/2018 12:00:00 AM,1,49020.16796875,31,3/1/2018 12:00:00 AM,1,38987,31,3/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:25:31 AM,11/21/2017 6:25:31 AM,31,1,40816,49225,38987,49020.16796875,40816,49225,38987,49020.16796875,,,,,,,,,,,,,,,,,
33061026170000,74c67399-2f6c-47a7-bbc6-6c684d119de9,BAKKEN,42506,30974,47668.33203125,61930,61,3/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21626,31,3/1/2018 12:00:00 AM,1,15745,31,3/1/2018 12:00:00 AM,1,24250.166015625,31,3/1/2018 12:00:00 AM,1,31179,30,4/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:25:44 AM,11/21/2017 6:25:44 AM,61,2,21626,15745,30751,24250.166015625,20880,15229,31179,23418.166015625,,,,,42506,,3.44955146582817,30974,,3.27723086694188,47668.33203125,,3.4309043470627,61930,,1.37271881715257,61
33061022820000,d961736b-9db6-4377-aa9d-98f763b7a83b,BAKKEN,68651,58089,78332.5,89694,61,3/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39185,30,4/1/2018 12:00:00 AM,2,32837,30,4/1/2018 12:00:00 AM,2,44657.83203125,30,4/1/2018 12:00:00 AM,2,46584,30,4/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:25:31 AM,11/21/2017 6:25:31 AM,61,2,29466,25252,43110,33674.66796875,39185,32837,46584,44657.83203125,,,,,68651,,24.8028582365701,58089,,23.0989432652191,78332.5,,24.5940377374664,89694,,7.45749613601236,61
