API,WellId,CompletionDate,PackerDepth,TubingLowerDepth,TubingSize,TubingUpperDepth
4223933589,678fab5a-b688-49a9-9d0d-eac1bfa80c82,11/15/2012 12:00:00 AM,7567,,2 3/8,7980
4223933589,678fab5a-b688-49a9-9d0d-eac1bfa80c82,11/21/2017 12:00:00 AM,5471,,2 7/8,5471
4216534545,6bf19f48-fa06-4c7a-b38c-2ab8875c1c14,6/1/1993 12:00:00 AM,0,,2 7/8,6312
4216537798,8515706d-6f9e-41b2-950b-e4b3dc622eff,8/24/2013 12:00:00 AM,0,,2 3/8,7764
4216537798,8515706d-6f9e-41b2-950b-e4b3dc622eff,1/27/2018 12:00:00 AM,0,,2 7/8,4629
4248531433,fe25f9eb-b72f-44a9-9c80-8a1d5e98a797,1/18/2018 12:00:00 AM,1940,,2 3/8,1940
4228931896,5c30d76c-e108-4492-ba28-b8a634b32ee3,12/1/2017 12:00:00 AM,6930,,2 7/8,7001
4220333741,4b960f46-5efe-4a4d-a8c9-1fdd6193db88,8/21/2007 12:00:00 AM,9645,,2 3/8,9668
4220333741,4b960f46-5efe-4a4d-a8c9-1fdd6193db88,1/9/2018 12:00:00 AM,5530,,2 3/8,5543
4241931172,5e6d4cda-ea1e-4c83-b1a0-feb44be8809c,1/3/2018 12:00:00 AM,12060,,2  3/8,12078
4220333321,3cd39389-57ca-41a3-afe1-9578d89a5a46,,9270,,2 3/8,9286
4220333321,3cd39389-57ca-41a3-afe1-9578d89a5a46,1/28/2018 12:00:00 AM,0,,2 3/8,8154
4243936960,963f6214-7279-4fa7-b3fd-45ac5f7fc22d,1/24/2018 12:00:00 AM,0,,2 3/8,7465
4243936960,963f6214-7279-4fa7-b3fd-45ac5f7fc22d,1/24/2018 12:00:00 AM,7299,,2 3/8,7402
4243936674,47a14509-9009-46da-9ccc-56744cb44c39,1/10/2018 12:00:00 AM,0,,2 3/8,8565
4243936745,be46cfc2-ce01-440e-811f-b16c6bbcb1a6,1/9/2018 12:00:00 AM,0,,2 3/8,7597
4200131315,f9d395d1-eb20-40c9-8c12-42dd0b8243af,12/2/2017 12:00:00 AM,0,,2 7/8,5000
4200730825,b5e87e73-756a-45ea-99fc-7268ad40aff5,10/15/1996 12:00:00 AM,10783,,2 3/8,11078
4200932368,6719f2d7-116c-4c5f-a709-a30e71ba8600,,3948,,2 3/8,3948
4200932368,6719f2d7-116c-4c5f-a709-a30e71ba8600,,3976,,2 3/8,3976
4200932368,6719f2d7-116c-4c5f-a709-a30e71ba8600,1/21/2018 12:00:00 AM,4000,,2 3/8,4000
4247943000,a4d3cace-3ab1-4244-89d0-a9f60498c690,1/29/2018 12:00:00 AM,10234,,2 3/8,10234
