WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8246,0.7,211,8245.65,23.6,S,21.41,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12566,89.1,359.1,11105.29,1556.37,N,468.38,W,47.99812,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3986,0.3,121.8,3985.81,7.6,S,17.19,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,20021,92.7,1.1,11099.35,9007.43,N,493.8,W,48.01856,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21536,89.1,357.8,11084.58,10521.69,N,491.37,W,48.02272,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21895,91.4,357.4,11083.37,10880.37,N,505.48,W,48.0237,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9382,0.6,93.4,9381.59,22.29,S,25.19,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10411,0.1,25.1,10410.55,24.44,S,17.43,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10928,51,294,10859.46,59.21,N,215.1,W,47.99401,-103.3935
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17280,89.2,2.9,11079.99,6268.25,N,498.06,W,48.01105,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8341,0.7,227.5,8340.64,24.49,S,22.14,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,2660,0.9,247.8,2659.95,4.86,S,4.73,W,47.99384,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,19832,89.7,1.5,11101.32,8818.49,N,497.1,W,48.01804,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13782,91.5,0.6,11092.25,2771.65,N,478.91,W,48.00145,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12843,90.7,358.4,11102.7,1833.31,N,471.21,W,47.99888,-103.3945
