API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
25101242650000,Somont Rig #3,9/3/2015 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  75,fc891525-3a8c-4373-86a9-58b0b1d6945d
25101242650000,,5/11/2015 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  75,fc891525-3a8c-4373-86a9-58b0b1d6945d
25101242650000,,11/11/2015 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Permit to Drill,,State 36  75,fc891525-3a8c-4373-86a9-58b0b1d6945d
3002120638,,5/5/2014 12:00:00 AM,,"
                                    [16696] OXY USA INC                                  
                                ",,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,"
                            [16696] OXY USA INC                                  
                        ",,,"
                            [27111] BRAVO DOME CARBON DIOXIDE GAS UNIT      
                        ",2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,"[16696] OXY USA INC                                  ",,,"[27111] BRAVO DOME CARBON DIOXIDE GAS UNIT      ",2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,6/8/2015 12:00:00 AM,,"
                                    [16696] OXY USA INC                                  
                                ",,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,"
                                    #321
                                ",,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,"[16696] OXY USA INC                                  ","New, Not Drilled",,[27111] BRAVO DOME CARBON DIOXIDE GAS UNIT       #321,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,6/8/2015 12:00:00 AM,,"
                                    #321
                                ",,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,#321,,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,6/8/2015 12:00:00 AM,,#321,,,,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,6/8/2015 12:00:00 AM,,"[16696] OXY USA INC                                  ",Active,,[27111] BRAVO DOME CARBON DIOXIDE GAS UNIT       #321,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,5/5/2014 12:00:00 AM,,"[16696] OXY USA INC.                                 ","New, Not Drilled",,[27111] BRAVO DOME CARBON DIOXIDE GAS UNIT       #321,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,6/8/2015 12:00:00 AM,,"[16696] OXY USA INC.                                 ",Active,,[27111] BRAVO DOME CARBON DIOXIDE GAS UNIT       #321,2313e93e-9d78-43de-b078-7e34b846fa12
3001543300,,8/14/2015 12:00:00 AM,,"
                                    [277558] LIME ROCK RESOURCES II-A, L.P.               
                                ",,,,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,8/14/2015 12:00:00 AM,,"[277558] LIME ROCK RESOURCES II-A, L.P.               ","New, Not Drilled",,[315091] BRAINARD 12L                             #001,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,8/14/2015 12:00:00 AM,,"
                                    #001
                                ",,,,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,8/14/2015 12:00:00 AM,,#001,,,,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,8/14/2015 12:00:00 AM,,"[277558] LIME ROCK RESOURCES II-A, L.P.               ",Active,,[315091] BRAINARD 12L #001,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3002542116,,9/15/2014 12:00:00 AM,,"[217817] CONOCOPHILLIPS COMPANY                       ","New, Not Drilled",,[31172] EAST VACUUM (GSA) UNIT                   #528,85f88048-142e-4b8d-9a94-c6623b6cb933
3002542116,,9/15/2014 12:00:00 AM,,"
                                    [217817] CONOCOPHILLIPS COMPANY                       
                                ",,,,85f88048-142e-4b8d-9a94-c6623b6cb933
