API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936441,8.625,Casing,32,1500,3/19/2010 12:00:00 AM,5528,,11,7cb718a8-1645-4ed7-b549-526e288253b6
4232936441,4.5,Casing,11.6,1800,3/19/2010 12:00:00 AM,10654,,7.875,7cb718a8-1645-4ed7-b549-526e288253b6
4232936441,13.375,Casing,48,500,3/19/2010 12:00:00 AM,478,,17.5,7cb718a8-1645-4ed7-b549-526e288253b6
4232936443,8.625,Casing,32,1500,4/13/2010 12:00:00 AM,5558,,11,84d68671-cf3e-4baf-8fe9-c8026543c831
4232936443,13.75,Casing,48,500,4/13/2010 12:00:00 AM,479,,17.5,84d68671-cf3e-4baf-8fe9-c8026543c831
4232936443,4.5,Casing,11.6,1800,4/13/2010 12:00:00 AM,10671,,7.875,84d68671-cf3e-4baf-8fe9-c8026543c831
4232936444,8.625,Casing,32,1500,4/2/2010 12:00:00 AM,5426,,11,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936444,4.5,Casing,11.6,1800,4/2/2010 12:00:00 AM,10644,,7.875,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936444,13.375,Casing,48,500,4/2/2010 12:00:00 AM,443,,17.5,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936465,12.75,Casing,35,325,3/31/2010 12:00:00 AM,343,,17.5,e195c1bb-3950-4e6a-8174-4045e6f3c7eb
4232936465,8.625,Casing,32,475,3/31/2010 12:00:00 AM,4948,1758,11,e195c1bb-3950-4e6a-8174-4045e6f3c7eb
4232936465,4.5,Casing,11.6,1080,3/31/2010 12:00:00 AM,10164,4965,7.875,e195c1bb-3950-4e6a-8174-4045e6f3c7eb
4232933094,9.625,Casing,40,300,4/16/1995 12:00:00 AM,5394,80,12.25,330f6d9e-b195-44c2-81ca-ad26e6534f8e
4232933094,5.5,Casing,20,2005,2/15/2010 12:00:00 AM,13610,6870,8.75,330f6d9e-b195-44c2-81ca-ad26e6534f8e
4232933094,5.5,Casing,20,1995,4/16/1995 12:00:00 AM,13610,6870,8.75,330f6d9e-b195-44c2-81ca-ad26e6534f8e
4232933094,13.375,Casing,48,450,2/15/2010 12:00:00 AM,401,,17.5,330f6d9e-b195-44c2-81ca-ad26e6534f8e
4232933094,9.625,Casing,40,1475,2/15/2010 12:00:00 AM,5394,80,12.25,330f6d9e-b195-44c2-81ca-ad26e6534f8e
4232936474,5.5,Casing,17,1035,3/15/2010 12:00:00 AM,11125,7060,7.875,8c8821c8-75ae-4e1c-95a1-ae15b128a23b
4232936474,9.625,Casing,36,270,3/15/2010 12:00:00 AM,380,,12.25,8c8821c8-75ae-4e1c-95a1-ae15b128a23b
4232936476,5.5,Casing,17,900,4/4/2010 12:00:00 AM,10506,6310,7.875,f42ef261-af29-4df4-8a97-cedd3c87d4f0
4232936476,8.625,Casing,32,715,4/4/2010 12:00:00 AM,4910,1500,11,f42ef261-af29-4df4-8a97-cedd3c87d4f0
4232936476,13.375,Casing,48,340,4/4/2010 12:00:00 AM,287,,17.5,f42ef261-af29-4df4-8a97-cedd3c87d4f0
4232936477,8.625,Casing,32,940,,4992,,11,72f05ba0-1697-4dc3-a675-8cda1b775a34
4232936477,5.5,Casing,17,825,,10260,4700,7.875,72f05ba0-1697-4dc3-a675-8cda1b775a34
4232936477,13.375,Casing,54.5,340,,311,,17.5,72f05ba0-1697-4dc3-a675-8cda1b775a34
4232936478,5.5,Casing,17,605,5/4/2010 12:00:00 AM,10795,4630,7.875,331a9e85-5fbb-443e-ba02-3e7638d16b21
4232936478,5.5,Casing,17,1105,5/4/2010 12:00:00 AM,10975,4630,7.875,331a9e85-5fbb-443e-ba02-3e7638d16b21
4232936478,13.375,Casing,54.5,360,5/4/2010 12:00:00 AM,318,,17.5,331a9e85-5fbb-443e-ba02-3e7638d16b21
4232936478,8.625,Casing,32,375,5/4/2010 12:00:00 AM,5087,3800,11,331a9e85-5fbb-443e-ba02-3e7638d16b21
4232936461,5.5,Casing,17,1000,11/19/2010 12:00:00 AM,10860,6110,7.875,839c36ad-1117-4d31-9e18-373ed3894b0d
4232936461,9.625,Casing,36,250,11/19/2010 12:00:00 AM,509,0,13.5,839c36ad-1117-4d31-9e18-373ed3894b0d
4232936463,9.625,Casing,36,250,8/12/2010 12:00:00 AM,475,,13.5,a15dc8e9-b71a-496a-a8a7-fe2aca708ed9
