API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4237102478,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,966f1924-c852-4d80-a4a4-cc5e9d5b9c96
4237102478,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,966f1924-c852-4d80-a4a4-cc5e9d5b9c96
4237102478,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,966f1924-c852-4d80-a4a4-cc5e9d5b9c96
4237138665,Producing operator changed.,3/1/1995 12:00:00 AM,FORT STOCKTON,APACHE CORPORATION,,,,31b2eec5-4b8d-4964-ab16-ccf22b8ee704
4237138665,,3/1/1995 12:00:00 AM,FORT STOCKTON,APACHE CORPORATION,,,,31b2eec5-4b8d-4964-ab16-ccf22b8ee704
4237138680,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,1f7bb48a-5aa4-4034-8345-dc704d5bca54
4237138680,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,1f7bb48a-5aa4-4034-8345-dc704d5bca54
4237138680,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,1f7bb48a-5aa4-4034-8345-dc704d5bca54
4237138690,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,121e015d-26a9-4df7-b2d3-bd580b4befac
4237138690,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,121e015d-26a9-4df7-b2d3-bd580b4befac
4237138690,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,121e015d-26a9-4df7-b2d3-bd580b4befac
4237135893,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,dff76a9a-6aba-4910-9c52-ca10455b5279
4237135893,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,dff76a9a-6aba-4910-9c52-ca10455b5279
4237135893,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,dff76a9a-6aba-4910-9c52-ca10455b5279
4237106556,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,1a8e03b1-8ad8-49b3-b21d-bc103d6744eb
4237106556,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,1a8e03b1-8ad8-49b3-b21d-bc103d6744eb
4237106556,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,1a8e03b1-8ad8-49b3-b21d-bc103d6744eb
4237107756,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,09a8eac9-6500-473b-b938-c8e0e46699e5
