WellId,API,FracStart,FracEnd,OperatorName,ServiceCompany,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,TotalFracMass,TotalBaseWaterVolumeMass,TotalProppantMass,FluidSystem,ProppantMaterial,CrosslinkFluid,SurfactantPresent,ScaleInhibitorPresent,ClayControlPresent,ClayControlAgent,AcidTreatmentPresent
973ee435-e81b-434d-a7b7-a9f8c27a461a,4232938831,9/23/2013 12:00:00 AM,9/24/2013 12:00:00 AM,Athlon Energy Operating LLC,Universal,,1449714,0,1.354107E+07,1.207612E+07,1241208,Crosslink,Natural Sand,Borate Based,True,False,True,CHOLINE CHLORIDE,True
95b7452d-daff-4cae-8f6e-5fdd782475ca,4232937610,4/30/2012 12:00:00 AM,4/30/2012 12:00:00 AM,Occidental Oil and Gas,Halliburton,,,,,,0,Crosslink,Natural Sand,,True,False,True,Sodium chloride,True
9fb4096f-18e0-4ddd-af21-ad3d5edb731a,4232939728,2/24/2015 12:00:00 AM,2/25/2015 12:00:00 AM,"RSP Permian, LLC",Halliburton,,1E+07,0,9.567103E+07,8.329973E+07,1.063629E+07,Linear,Natural Sand,,True,False,True,Sodium chloride,True
24fab6f6-243f-4dd4-ae95-fcea0b2f0ee3,4232939230,7/2/2014 12:00:00 AM,7/3/2014 12:00:00 AM,Endeavor Energy Resources,Santrol,,465800,0,1118815,3880114,1118815,Crosslink,Natural Sand,,True,False,True,Mixture,True
accd1c6c-9b59-4639-b0ba-10091b7e6c50,4232939608,2/16/2015 10:10:00 AM,2/22/2015 6:54:00 AM,XTO Energy/ExxonMobil,Chemplex,,1.175665E+07,477070,1.073715E+08,9.793288E+07,8524493,Slickwater,Natural Sand,,True,False,True,Sodium Chloride,True
9220f56e-cf52-4e9d-a986-4a90c3f1c453,4232937788,7/10/2012 12:00:00 AM,7/10/2012 12:00:00 AM,"Fasken Oil and Ranch, Ltd.","Chemplex, L.C.",,,,,,0,Crosslink,Natural Sand,Borate Based,True,False,True,Poly electrolyte,True
1f757e31-9bbb-46f9-a688-b6582d6d824f,4232940257,11/30/2015 12:00:00 AM,12/10/2015 12:00:00 AM,Pioneer Natural Resources,Pioneer Natural Resources Pumping Services LLC,,1.25911E+07,0,1.172959E+08,1.048838E+08,1.156905E+07,Crosslink,Natural Sand,Borate Based,True,False,True,Sodium chloride (NaCI),True
5a2caeec-10a8-4538-aa55-155b2048491e,4232938753,11/13/2014 12:00:00 AM,11/14/2014 12:00:00 AM,Endeavor Energy Resources,Advanced Stimulation Technologies,,25945,0,346604.8,216511,0,Crosslink,Natural Sand,,True,False,True,Mixture,True
ba09cb19-8d80-4c5b-bfa3-722378654aa2,4232937557,1/13/2012 12:00:00 AM,1/13/2012 12:00:00 AM,Pioneer Natural Resources,Baker Hughes,,,,,,0,Crosslink,Natural Sand,,True,False,True,Sodium Chloride,True
8b7936e9-4366-4571-bc81-ce4fd8f75606,4232937939,6/29/2012 12:00:00 AM,6/29/2012 12:00:00 AM,Endeavor Energy Resources,AST,,,,,,0,Crosslink,Natural Sand,,True,False,False,,True
962dfadc-82bf-4c27-9099-3f1f28779fdd,4232940640,1/11/2016 12:00:00 AM,1/13/2016 12:00:00 AM,Endeavor Energy Resources,Advanced Stimulation Technologies,,1269072,0,1.164632E+07,1.059041E+07,886450,Crosslink,Natural Sand,Borate Based,True,False,True,Mixture,True
bf78946a-8e23-498e-9dbb-575a9ec3dd22,4232938929,12/17/2013 5:17:00 PM,12/23/2013 11:32:00 AM,COG Operating LLC,ASK,,6016160,564778,6.158306E+07,5.011461E+07,9267158,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline),True
b88d4235-943e-4a22-ab6e-2bef69410726,4232940076,6/5/2016 5:00:00 AM,6/5/2016 5:00:00 AM,XTO Energy/ExxonMobil,Halliburton,,1.228816E+07,0,1.123788E+08,1.023601E+08,0,Slickwater,Natural Sand,,False,False,False,,True
aba7a99c-7267-42ea-bbf2-3e4100c14a0e,4232938916,5/6/2014 12:00:00 AM,5/8/2014 12:00:00 AM,Henry Resources LLC,Economy Polymers,,1535646,0,1.478916E+07,1.281497E+07,1615480,Crosslink,Natural Sand,,True,False,False,,True
75709029-f369-4860-bef6-835663897308,4232939225,11/6/2014 12:00:00 AM,11/7/2014 12:00:00 AM,Chevron USA Inc.,Halliburton,,770513,0,7718582,6418352,1129040,Crosslink,Natural Sand,Borate Based,True,False,False,,True
6abd0c2a-465c-4504-bc24-42e1e20834af,4232937709,4/9/2012 12:00:00 AM,4/9/2012 12:00:00 AM,"Fasken Oil and Ranch, Ltd.","Chemplex, L.C.",,,,,,0,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline),True
62fa6aa6-2d5f-4608-8458-efd69a951430,4232938585,7/18/2013 8:02:00 AM,7/19/2013 3:05:00 PM,COG Operating LLC,"Chemplex, L.C.",,1561352,104914,1.463314E+07,1.300606E+07,1138186,Crosslink,Natural Sand,,True,False,False,,True
3500ba11-be03-4dd6-a86f-1ec8c81e5cdb,4232938647,7/25/2013 12:00:00 AM,7/26/2013 12:00:00 AM,"CrownQuest Operating, LLC",Economy Polymers,,1197084,0,1.109837E+07,9519587,1086487,Crosslink,Natural Sand,,True,False,True,Methanol,True
c34bf39a-e614-45f6-b98c-c9b156462784,4232940660,4/1/2016 6:00:00 AM,4/21/2016 6:00:00 AM,Encana Oil & Gas (USA) Inc.,Innospec Oilfield Services,,1.821683E+07,0,1.657998E+08,1.520194E+08,1.323596E+07,Linear,Natural Sand,,True,False,False,,True
b66ee191-6daa-4148-8458-0b16d6633300,4232937513,1/19/2012 12:00:00 AM,1/19/2012 12:00:00 AM,Pioneer Natural Resources,Pioneer Natural Resources Pumping Services LLC,,,,,,0,Crosslink,Natural Sand,,True,False,False,,True
bb0c6ba7-e6e1-4fe7-b7e6-5b189035f384,4232938922,12/13/2013 12:00:00 AM,12/19/2013 12:00:00 AM,Occidental Oil and Gas,Nabors Completion and Production Services,,5651142,0,5.39827E+07,4.707401E+07,0,Linear,Natural Sand,,True,False,True,"ammonium, (2-Hydroxyethyl)trimethyl-, chloride",True
75c2b605-e424-45d5-8b3a-2e3eb4e569db,4232940703,4/23/2016 12:00:00 AM,4/25/2016 12:00:00 AM,XTO Energy/ExxonMobil,Halliburton,,1.530593E+07,0,1.380954E+08,1.273449E+08,0,Linear,Natural Sand,,True,False,False,,True
30cecc7a-d7f7-4065-af62-445e8fb36bcb,4232937615,2/28/2012 12:00:00 AM,2/28/2012 12:00:00 AM,Occidental Oil and Gas,Halliburton,,,,,,0,Crosslink,Natural Sand,,True,False,True,Glassy calcium magnesium phosphate,False
22ca0280-9876-48d5-8b4f-8a40a50aca74,4232938623,8/19/2013 7:19:00 AM,8/20/2013 12:49:00 PM,"Fasken Oil and Ranch, Ltd.",ASK,,1767408,66564,1.588331E+07,1.472251E+07,901879.4,Crosslink,Natural Sand,,True,False,False,,True
