API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4232936498,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,d93f2884-829f-4afd-b814-c546a40d5c01
4232936498,Producing operator changed.,3/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),WINDSOR PERMIAN LLC,,,,d93f2884-829f-4afd-b814-c546a40d5c01
4232930421,Producing operator changed.,12/1/2004 12:00:00 AM,DORA ROBERTS (ELLENBURGER),MERIT ENERGY COMPANY,,,,5b03283f-f300-4015-84c3-3c622bed4e23
4232930421,Producing operator changed.,9/1/2010 12:00:00 AM,DORA ROBERTS (ELLENBURGER),PDC ENERGY,,,,5b03283f-f300-4015-84c3-3c622bed4e23
4232930421,Producing operator changed.,2/1/2012 12:00:00 AM,DORA ROBERTS (ELLENBURGER),COG OPERATING LLC,,,,5b03283f-f300-4015-84c3-3c622bed4e23
4232930421,Producing operator changed.,8/1/2010 12:00:00 AM,DORA ROBERTS (ELLENBURGER),PDC-WV-CO CORPORATION,,,,5b03283f-f300-4015-84c3-3c622bed4e23
4232936741,Producing operator changed.,7/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),OXY USA WTP LP,,,,ddd4affa-6061-446f-b258-737ae39d913d
4232936741,Producing operator changed.,8/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),FOREST OIL CORPORATION,,,,ddd4affa-6061-446f-b258-737ae39d913d
4232936741,Producing operator changed.,1/1/2002 12:00:00 AM,SPRABERRY (TREND AREA),BP AMERICA PRODUCTION COMPANY,,,,ddd4affa-6061-446f-b258-737ae39d913d
4232936741,Producing operator changed.,1/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),"SANDRIDGE EXPL. AND PROD., LLC",,,,ddd4affa-6061-446f-b258-737ae39d913d
4232936741,Producing operator changed.,10/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),ATHLON ENERGY OPERATING LLC,,,,ddd4affa-6061-446f-b258-737ae39d913d
4232936768,Producing operator changed.,2/1/2000 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY OPERATING LLC,,,,1c99f0ba-c8df-40a5-b487-3e0dc7f30478
4232936768,Producing operator changed.,3/1/1995 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY DEVELOPMENT L.P,,,,1c99f0ba-c8df-40a5-b487-3e0dc7f30478
4232936768,Producing operator changed.,12/1/2000 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY ACQ. GROUP LLC,,,,1c99f0ba-c8df-40a5-b487-3e0dc7f30478
4232937073,Producing operator changed.,9/1/2001 12:00:00 AM,SPRABERRY (TREND AREA),"DEAN ENERGY, INC.",,,,763c556d-53a0-4d14-aa9b-cced12d0ffd7
4232937073,Producing operator changed.,2/1/2000 12:00:00 AM,SPRABERRY (TREND AREA),"RIM OPERATING, INC.",,,,763c556d-53a0-4d14-aa9b-cced12d0ffd7
4232937073,Producing operator changed.,4/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),BERRY OIL COMP.,,,,763c556d-53a0-4d14-aa9b-cced12d0ffd7
4232937073,Producing operator changed.,11/1/2007 12:00:00 AM,SPRABERRY (TREND AREA),"DACOTT OIL &amp; GAS, LLC",,,,763c556d-53a0-4d14-aa9b-cced12d0ffd7
4232936290,Producing operator changed.,5/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),"LINN OPERATING, INC.",,,,d833a292-3361-4681-b2c6-aed990059404
4232937032,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,26130961-0e59-484f-8743-3173516039e6
4232936611,Producing operator changed.,3/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),SUMMIT PETROLEUM LLC,,,,4a05fe6e-bba4-45fe-a477-b8ed4424e6f3
4232936611,Producing operator changed.,6/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),ENERGEN RESOURCES CORPORATION,,,,4a05fe6e-bba4-45fe-a477-b8ed4424e6f3
4232936611,,1/1/2002 12:00:00 AM,SPRABERRY (TREND AREA),BP AMERICA PRODUCTION COMPANY,,,,4a05fe6e-bba4-45fe-a477-b8ed4424e6f3
4232936611,Producing operator changed.,1/1/2002 12:00:00 AM,SPRABERRY (TREND AREA),BP AMERICA PRODUCTION COMPANY,,,,4a05fe6e-bba4-45fe-a477-b8ed4424e6f3
4232936611,,3/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),SUMMIT PETROLEUM LLC,,,,4a05fe6e-bba4-45fe-a477-b8ed4424e6f3
4232936801,Producing operator changed.,3/1/1995 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY DEVELOPMENT L.P,,,,165c9116-c81f-4971-bd07-4a9dccab6f75
4232936801,Producing operator changed.,9/1/1997 12:00:00 AM,SPRABERRY (TREND AREA),"PIONEER NATURAL RES. USA, INC.",,,,165c9116-c81f-4971-bd07-4a9dccab6f75
4232936536,Producing operator changed.,8/1/2008 12:00:00 AM,SPRABERRY (TREND AREA),HENRY RESOURCES LLC,,,,ca8ebefc-e86a-42de-8bfc-d5d9e8f53e65
4232930998,Producing operator changed.,6/1/2002 12:00:00 AM,BRADFORD RANCH (ATOKA),CHEVRON U. S. A. INC.,,,,cedcbfc4-47ed-44f5-92e6-714599d103fc
4232936783,Producing operator changed.,1/1/2001 12:00:00 AM,DORA ROBERTS (CONSOLIDATED),OXY USA WTP LP,,,,0355293c-72d9-4ad7-b3e4-0ec4ccddbef4
4232937093,Producing operator changed.,1/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),MERIT ENERGY COMPANY,,,,ff5ad7ce-c3f2-43ba-8527-92b177b106d5
4232937093,Producing operator changed.,7/1/2001 12:00:00 AM,SPRABERRY (TREND AREA),"DEVON ENERGY PRODUCTION CO, L.P.",,,,ff5ad7ce-c3f2-43ba-8527-92b177b106d5
4232937093,Producing operator changed.,3/1/1999 12:00:00 AM,SPRABERRY (TREND AREA),CONCHO RESOURCES INC.,,,,ff5ad7ce-c3f2-43ba-8527-92b177b106d5
4232937459,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,f7c7e11c-b624-48ef-a720-ca9aa2e1bf5e
4232937978,Producing operator changed.,3/1/1995 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY DEVELOPMENT L.P,,,,f7d7713c-a020-432f-8e67-1dbc1f52584d
4232937439,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,6b8f80f3-2815-4af7-94bd-9e4e28d93287
4232936488,Producing operator changed.,10/1/2009 12:00:00 AM,SALLIE ANN (SPRABERRY-WOLFCAMP),CALLON PETROLEUM OPERATING CO,,,,71df5a6e-6127-40a4-969f-8e2d15d31090
