API,WellId,CompletionDate,PackerDepth,TubingLowerDepth,TubingSize,TubingUpperDepth
4232940954,800aba82-9890-4677-8e2d-70a827b2a5fb,7/28/2017 12:00:00 AM,8843,,2 7/8,8843
4232941024,8d79a1fe-8f02-418f-99b4-9e8a399ffb0e,6/9/2017 12:00:00 AM,19737,,2 7/8,8430
4232940952,0ea7f067-dd7c-4edf-9ef0-cab59c69641c,7/23/2017 12:00:00 AM,0,,2 7/8,8751
4232940953,f2080e52-ea07-46e4-b107-88424ac6b794,7/21/2017 12:00:00 AM,0,,2 7/8,7697
4232941023,b16b8592-6ff9-402f-b769-a2d2a361c3ce,1/20/2017 12:00:00 AM,5235,,2 7/8,8045
4232941331,34a4ab86-be04-4f30-8d71-a5b664e0ab45,7/23/2017 12:00:00 AM,0,,2 7/8,8409
4232941365,8180de1b-a661-4208-8079-24033e0de2a4,9/6/2017 12:00:00 AM,8950,,2 7/8,8812
4232941197,79998323-2d7a-4e89-be8d-0af5bc2abd79,5/7/2017 12:00:00 AM,0,,2 7/8,8464
4232940691,09a02cc1-db58-4e53-b199-be0dbd646d7a,6/28/2017 12:00:00 AM,8536,,2 7/8,8502
4232940517,864d0f94-b1c9-4692-af86-5a90fc687fbf,5/8/2017 12:00:00 AM,0,,2 7/8,8688
4232941065,4bc8c63a-7060-45f9-afce-43157425f874,10/14/2017 12:00:00 AM,0,,2 3/8,9574
4232941190,8499c539-8e7a-4acc-aab3-c0b92a4ddbb1,5/18/2017 12:00:00 AM,0,,2 7/8,9024
4232941509,597d9b9f-8838-4004-a9c3-27b1f2ae26cd,7/6/2017 12:00:00 AM,8404,,2 7/8,8404
4232941198,9f978dc4-ecbf-4916-8c5b-e7f8f236cd39,5/9/2017 12:00:00 AM,0,,2 7/8,9029
4232941460,87ebb68d-2427-4130-af7e-15d0b01aa234,7/24/2017 12:00:00 AM,0,,2 7/8,8740
4232940622,a792967b-6328-4874-b572-a15be3ca732f,10/11/2017 12:00:00 AM,0,,2 7/8,8102
4232940620,b958fc63-9d2a-4d37-b187-76b5e09ae865,10/11/2017 12:00:00 AM,0,,2 7/8,8295
4232941635,c07a8d39-eef9-480c-8a24-18394cbc2a94,8/25/2017 12:00:00 AM,8786,,2 7/8,8785
4232941465,73fb99a0-59b1-4d12-9f8b-7d09e2644329,7/24/2017 12:00:00 AM,0,,2 7/8,8702
4232941634,e8d0986f-9ca3-420d-b645-305ea268bb49,8/25/2017 12:00:00 AM,8593,,2 7/8,8600
