API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4237138642,4.5,Casing,11.6,500,5/3/2010 12:00:00 AM,4500,2242,8.75,79bcee06-5b0d-4941-996f-9fc342d47591
4237138642,9.625,Casing,36,780,5/3/2010 12:00:00 AM,1538,,12.25,79bcee06-5b0d-4941-996f-9fc342d47591
4237138648,7,Casing,,450,,6810,4750,8.75,b15365b6-5250-4f86-8505-b7b28e890ebd
4237138648,9.625,Casing,,1173,,1322,0,12.25,b15365b6-5250-4f86-8505-b7b28e890ebd
4237134720,9.625,Casing,32,625,6/22/1995 12:00:00 AM,1436,,12.25,b09ca812-b09c-4154-bc4d-72370d7a3701
4237134720,7,Casing,23,350,3/30/2010 12:00:00 AM,1796,,8.75,b09ca812-b09c-4154-bc4d-72370d7a3701
4237134720,9.625,Casing,32.3,625,3/30/2010 12:00:00 AM,1436,,12.25,b09ca812-b09c-4154-bc4d-72370d7a3701
4237134720,13.375,Casing,48,825,3/30/2010 12:00:00 AM,986,,17.5,b09ca812-b09c-4154-bc4d-72370d7a3701
4237138663,7,Casing,26,550,7/18/2010 12:00:00 AM,7896,4200,8.75,5e7dc28a-7e2c-453c-b9bb-973e8e3dd0d0
4237138663,9.625,Casing,36,910,7/18/2010 12:00:00 AM,1428,,12.25,5e7dc28a-7e2c-453c-b9bb-973e8e3dd0d0
4237138664,5.5,Casing,17,510,,3374,1110,7.875,47433d76-3a4f-4d73-987c-a0ab707032c3
4237138664,8.625,Casing,24,885,,1800,,11,47433d76-3a4f-4d73-987c-a0ab707032c3
4237138674,9.625,Casing,0,1376,8/10/2010 12:00:00 AM,1510,,12.25,7f20255a-c96b-4bef-b12e-90f76a68cdb6
4237138674,7,Casing,0,440,8/10/2010 12:00:00 AM,6260,3740,8.75,7f20255a-c96b-4bef-b12e-90f76a68cdb6
4237134680,9.625,Casing,32.3,560,6/3/2010 12:00:00 AM,1165,,12.25,ca1d884b-6dcf-4d3b-b383-9eef52c98899
4237134680,7,Casing,23,300,6/3/2010 12:00:00 AM,1525,,8.75,ca1d884b-6dcf-4d3b-b383-9eef52c98899
4237134680,13.375,Casing,48,800,6/3/2010 12:00:00 AM,765,,17.5,ca1d884b-6dcf-4d3b-b383-9eef52c98899
4237138681,9.625,Casing,36,625,6/25/2010 12:00:00 AM,775,180,12.25,7ee430c3-e2e3-4a64-8493-c0e21cd47114
4237138681,7,Casing,23,345,6/25/2010 12:00:00 AM,1596,240,8.75,7ee430c3-e2e3-4a64-8493-c0e21cd47114
4237138692,4.5,Liner,,325,,7335,4163,6.125,a6a71b1f-22a3-48a9-bdd4-7d47f6caffbd
4237138692,7,Casing,,450,,5232,3300,8.75,a6a71b1f-22a3-48a9-bdd4-7d47f6caffbd
4237138692,4.5,Liner,,325,,7335,4163,6.125,a6a71b1f-22a3-48a9-bdd4-7d47f6caffbd
4237138697,7,Casing,26,540,8/29/2010 12:00:00 AM,7854,30,8.75,36fcc399-12e2-4b18-b5cd-a34c4d6b344b
4237138697,4.5,Liner,36,230,8/29/2010 12:00:00 AM,8280,7397,,36fcc399-12e2-4b18-b5cd-a34c4d6b344b
4237138697,7,Casing,26,390,8/29/2010 12:00:00 AM,7854,5497,8.75,36fcc399-12e2-4b18-b5cd-a34c4d6b344b
4237138697,4.5,Liner,,230,8/29/2010 12:00:00 AM,8280,7397,,36fcc399-12e2-4b18-b5cd-a34c4d6b344b
4237138701,9.625,Casing,36,780,9/21/2010 12:00:00 AM,1178,,12.25,c4bd90f3-53a8-49a4-aee9-7252294ed3f0
4237138701,5.5,Casing,17,600,9/21/2010 12:00:00 AM,8830,6640,8.75,c4bd90f3-53a8-49a4-aee9-7252294ed3f0
4237138709,5.5,Casing,15.5,155,2/28/2011 12:00:00 AM,505,110,7.875,fc2f9fc2-acbf-467e-aad1-9bd01af1ab76
4237138711,7,Casing,26,465,9/19/2010 12:00:00 AM,6458,1930,8.75,4dcb2103-ccf0-4d1a-a809-0afb07e1bee6
4237138711,9.625,Casing,36,880,9/19/2010 12:00:00 AM,1390,,12.25,4dcb2103-ccf0-4d1a-a809-0afb07e1bee6
4237138677,7,Casing,26,2750,11/2/2010 12:00:00 AM,8950,7500,8.75,4109b2ef-2f7c-4009-a27f-5fa7581ecc67
4237138677,13.375,Casing,61,2620,11/2/2010 12:00:00 AM,1332,,17.5,4109b2ef-2f7c-4009-a27f-5fa7581ecc67
4237133814,2.875,Casing,0,0,7/3/1982 12:00:00 AM,1665,,,b040d67e-db89-4e7c-a1e4-ada49614403c
4237133814,13.375,Casing,48,1125,9/29/2010 12:00:00 AM,948,,17.5,b040d67e-db89-4e7c-a1e4-ada49614403c
4237133814,8.625,Casing,24,475,9/29/2010 12:00:00 AM,1298,,11,b040d67e-db89-4e7c-a1e4-ada49614403c
4237133814,7,Casing,26,745,9/29/2010 12:00:00 AM,1758,,9,b040d67e-db89-4e7c-a1e4-ada49614403c
4237133896,2.375,Casing,0,0,4/26/1983 12:00:00 AM,1460,,,4b0cedf7-e363-49d7-beab-ae8254b126cc
4237133896,7,Casing,26,175,7/25/1996 12:00:00 AM,1531,,8.75,4b0cedf7-e363-49d7-beab-ae8254b126cc
4237133896,7,Casing,26,175,5/31/2020 12:00:00 AM,1531,,8.625,4b0cedf7-e363-49d7-beab-ae8254b126cc
4237133896,13.375,Casing,48,875,5/31/2020 12:00:00 AM,721,,17.5,4b0cedf7-e363-49d7-beab-ae8254b126cc
4237133896,8.625,Casing,24,450,5/31/2020 12:00:00 AM,1171,,11,4b0cedf7-e363-49d7-beab-ae8254b126cc
4237107758,5.5,Casing,17,150,11/8/2010 12:00:00 AM,1605,,7,12637c46-2063-4485-a16d-b304e91e56a6
4237107758,7,Casing,26,41,11/8/2010 12:00:00 AM,1394,,9,12637c46-2063-4485-a16d-b304e91e56a6
4237107758,8.625,Casing,24,20,11/8/2010 12:00:00 AM,830,,11,12637c46-2063-4485-a16d-b304e91e56a6
4237107758,,Casing,0,0,,0,,,12637c46-2063-4485-a16d-b304e91e56a6
4237106531,8.625,Casing,35,0,,255,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,,Casing,0,0,,0,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,7,Casing,23,100,9/26/1993 12:00:00 AM,959,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,7,Casing,24,100,,1084,,8.625,c82b7384-4bfc-4e33-b941-968611a9ff67
