WellId,API,Supplier,Purpose,TradeName,IngredientName,CASNumber,PercentOfTotalFluid,IngredientMass
e1985840-69c1-4e1c-9c85-73b62aab86a4,4237139534,,Other Chemicals,,HEMICELLULOSE ENZYME,9012-5-4--8,0,0
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,,,,AMINO ALKYL PHOSPHONIC ACID,7664-3-8--2,0.0006160599,801
9ceea3a8-b118-40f6-a16c-debc069069f7,4237139475,,,,PEROXYACETIC ACIED,79-2-1--0,0.001209476,1222
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,DEWAXED HEAVY PARAFFINIC DISTILLATE,64742-6-5--0,0.0006455151,1333.824
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,,Other Chemicals,,SODIUM ACETATE,126-9-6--5,0,0
10ccd82b-8d95-4d5b-b9b0-11d7b67e520b,4237138946,LISTED ABOVE,See Trade Name(s) List,Other Chemicals,NO HAZARDOUS INGREDIENTS PER MSDS,,0.1045677,680.8943
bf9d3ca0-de17-494f-821c-38da3c683a56,4237139449,,,,PETROLEUM DISTILLATE,64742-4-7--8,0.05229479,50424
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,WST,Biocide,Aqucar 714,"SODIUM SULFATE
SODIUM SULFATE
",7757-8-2--6,3.17299E-05,70.132
9ceea3a8-b118-40f6-a16c-debc069069f7,4237139475,,,,CASTOR OIL POLYOXYETHYLENE ETHER,61791-1-2--6,0.006565018,6632
863b72b1-503b-4df0-95c9-3c684a562347,4237139435,HALLIBURTON,Corrosion Inhibitor,HAI-OS ACID INHIBITOR,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
dd2cd6ef-e249-4695-95c2-e8c5409e33ff,4237139620,CHEMPLEX,Corrosion Inhibitor,Plexhib 256,METHANOL,,0.0008185576,8.597
5bcfa4f1-7016-4c04-acb5-a891d8c15403,4237139581,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.0008769569,2745
eab4b262-47ed-46d7-bca3-441a9a270839,4237139642,,Other Chemicals,,WATER,773-1-8--2,0,0
255cbc3c-1692-4236-9c77-0e2a4ee656da,4237139603,,,,,14808-6-0--7,2.96699,6177682
01e02172-b587-41da-8a6b-530cc6a65135,4237139562,,,,WHITE MINERAL OIL PETROLEUM,8042-4-7--5,0.006445325,13780.97
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,,,,ORGANIC AMINE,141-4-3--5,2.321462E-05,31
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,LIBERTY OILFIELD SERVICES,Sand,Crystalline Silica Quartz / US Silica,ALUMINUM OXIDE,90669-6-2--8,0.0913166,201323
9b8112e9-217b-4c1d-9329-4c42dcedf676,4237139542,FINORIC,Acid Corrosion Inhibitors,I-123,ALKYL PHENYL ETHOXYLATE,68412-5-4--4,0.0001104592,117.9026
e07560e6-431d-4e89-b278-531b92d05681,4237139583,ACE COMPLETIONS,Surfactant,MCS-376,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
d9f4fc99-6d26-4caa-8243-8d022f43604d,4237139521,,,,SURFACTANT,68603-4-2--9,0.003311829,5939
28bc6657-b868-49d8-9499-a9ca9727f643,4237139688,,,,,14808-6-0--7,1.8E-05,36.76871
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,HALLIBURTON,Additive,FE-2A,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,,,,ALKANE,,0.000894214,1558
eab4b262-47ed-46d7-bca3-441a9a270839,4237139642,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,PHOSPHONIC ACID 16-HEXANEDIYLBISNITRILOBISMETHYLENETETRAKIS,,0.001109197,2456.13
01e02172-b587-41da-8a6b-530cc6a65135,4237139562,FTSI,Acid,10.1%-15.0% HCL,15 HCL,7732-1-8--5,0,0
b01a6ad3-aeba-422b-8bb4-a3474a608d7c,4237139639,LIBERTY OILFIELD SERVICES,Corrosion Inhibitor,ACI-97,MERCAPTOETHANOL,60-2-4--2,0.0002798789,519.592
28bc6657-b868-49d8-9499-a9ca9727f643,4237139688,C&J WELL SERVICES,Surfactants & Foamers,SU-2,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,LIBERTY OILFIELD SERVICES,Proppant,Santrol RCS / Santrol,,14808-6-0--7,0.04879166,107569.5
1ac3f2e5-473f-4cf5-a6ed-64954212bb7a,4237139551,ACE COMPLETIONS,Scale Inhibitors,SI-625,DIETHYLENETRIAMINEPENTAMETHYLENEPHOSPHONIC ACID SODIUM SALT,22042-9-6--2,0.005276439,14577.49
a5c24824-0c7d-4be4-8adc-0e8ce0c2e4c6,4237139487,CHEMPLEX,N/E Surfactant,NE116-Plexbreak 116,DIPORPYLENE GLYCOL MONOMETHYL ETHER,34590-9-4--8,2.68922E-05,53.653
9ceea3a8-b118-40f6-a16c-debc069069f7,4237139475,,,,HEMICELLULOSE ENZYME,9012-5-4--8,0.005014166,5065
4ea51839-6a19-429d-91b0-5623b7c81398,4237139650,,,,,14808-6-0--7,8.33343,1.68259E+07
28bc6657-b868-49d8-9499-a9ca9727f643,4237139688,,,,TAR BASES,68513-8-7--1,0.000246,502.5058
af525099-0373-4daf-bcd5-421f52cf8731,4237139528,,,,AMINO ALKYL PHOSPHONIC ACID,7664-3-8--2,0.000382728,734
99eb975e-11e9-4c2f-87a7-8e10aa01e0dc,4237139450,,,,SODIUM PERBORATE TETRAHYDRATE,13517-2-0--9,0.00546177,7095
023e4ac2-6386-40b4-828e-3236e0872278,4237139419,LISTED ABOVE,See Trade Name(s) List,Other Chemicals,WATER,773-1-8--2,5.002767,655790.3
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,,Other Chemicals,,SURFACTANT,68131-4-0--8,0,0
aed05b5a-4784-4bc1-8805-0cf2c6981391,4237139481,,,,OXYALKYLATED FATTY ACID,68951-6-7--7,0.003787386,6527
023e4ac2-6386-40b4-828e-3236e0872278,4237139419,LISTED ABOVE,See Trade Name(s) List,Other Chemicals,ALCOHOLS C12-C16 ETHOXYLATED,68551-1-2--2,0.001244695,163.161
1e8f345f-7b30-434a-88e4-3ab32ea7de45,4237139663,,,,WATER,773-1-8--2,0.060615,129746.2
12dac83e-6b52-47a4-9947-a5914752728e,4237139552,HALLIBURTON,Additive,FE-1A ACIDIZING COMPOSITION,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
b01a6ad3-aeba-422b-8bb4-a3474a608d7c,4237139639,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,MERCAPTOETHANOL,60-2-4--2,0.008784791,16308.87
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,SUPPLIED BY OPERATOR,Base Fluid,WATER,WATER,773-1-8--2,92.80778,2.066295E+08
af525099-0373-4daf-bcd5-421f52cf8731,4237139528,OPERATOR,Base Fluid,Fresh Water,WATER,773-1-8--2,89.4247,1.714039E+08
c8efa021-3c0d-4657-92eb-8fbf2c0cc5ba,4237139543,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,2-PROPENOIC ACID POLYMER WITH 25-FURANDIONE SODIUM SALT,,0.006711167,15234.05
e01866be-4b7f-482f-959b-a4db6f17d8a5,4237139531,LIBERTY OILFIELD SERVICES,Proppant,Santrol RCS / Santrol,,14808-6-0--7,0.04195648,95377.5
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,AMMONIUM CHLORIDE,12125-0-2--9,0.0001210341,250.0921
1ac3f2e5-473f-4cf5-a6ed-64954212bb7a,4237139551,FINORIC,Acid Corrosion Inhibitors,I-123,ALKYL PHENYL ETHOXYLATE,68412-5-4--4,4.012798E-05,110.8636
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,HALLIBURTON,Scale Preventer,Scalechek(R) SCP-2 Scale Inhibitor,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
4ea51839-6a19-429d-91b0-5623b7c81398,4237139650,,,,ETHOXYLATED SORBITOL TETRAOLEATE,61723-8-3--9,1E-05,20.19085
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,TRADE SECRET,100-9-7--0,0.01461653,22961
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,LIBERTY OILFIELD SERVICES,Proppant,Santrol RCS / Santrol,TRADE SECRET,100-9-7--0,0.005069778,11205.7
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,,Other Chemicals,,PROPYLALCOHOL,71-2-3--8,0,0
167b05f7-3759-4b72-bd21-80b2734ffc60,4237139605,,,,SURFACTANT,9016-4-5--9,0.003033764,8002.824
e1985840-69c1-4e1c-9c85-73b62aab86a4,4237139534,LIBERTY OILFIELD SERVICES,Nonionic Non-Emulsifier,ASF-67,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.0001263781,297.548
afda7e40-f2de-46db-b305-4262f43fc36b,4237139665,,Other Chemicals,,HEMICELLULOSE ENZYME,9012-5-4--8,0,0
635f86b0-7cf6-4abf-bdfd-da66a7412abd,4237139529,OPERATOR,Base Fluid,Fresh Water,WATER,773-1-8--2,87.08381,2.327094E+08
c8efa021-3c0d-4657-92eb-8fbf2c0cc5ba,4237139543,LIBERTY OILFIELD SERVICES,Sand,Crystalline Silica Quartz / US Silica,TIO,13463-6-7--7,0.008844076,20075.66
22846f14-29f4-4107-bdb5-27d4e7ad8da4,4237139508,,Other Chemicals,,SULFAMIC ACIDEN-BROMO SODIUM SALT,1004542-8-4--0,0,0
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,,Other Chemicals,,ETHYLENE GLYCOL,107-2-1--1,0,0
167b05f7-3759-4b72-bd21-80b2734ffc60,4237139605,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.0006373688,1681.327
80cc0e70-c967-4276-ab85-52e7dc4cd6fb,4237139533,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,PHOSPHONIC ACID 16-HEXANEDIYLBISNITRILOBISMETHYLENETETRAKIS,,0.001028741,1896.846
dfa2ef8d-a798-42b2-8a8e-e10d900e0d60,4237139579,CHEMPLEX,FRICTION REDUCER,Plexslick 957,DIMETHYL FORMAMIDE,104-7-6--7,0.0026,20.48116
e01866be-4b7f-482f-959b-a4db6f17d8a5,4237139531,,Other Chemicals,,SODIUM ACETATE,126-9-6--5,0,0
635f86b0-7cf6-4abf-bdfd-da66a7412abd,4237139529,HALLIBURTON,Proppant,"SAND-PREMIUM WHITE-40/70, BULK",2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0,0
a65122bc-9830-4e59-a38a-5d79aa6c984d,4237139582,,,,2-HYDROXYPROPANE-123-TRICARBOSYLIC ACID,77-9-2--9,0.001407808,4210
10ccd82b-8d95-4d5b-b9b0-11d7b67e520b,4237138946,CHEMPLEX,Resin Activator,Superset W,METHANOL,,0.04137245,269.101
e07560e6-431d-4e89-b278-531b92d05681,4237139583,,,,OXYALKYLATE,,0,0
