WellId,API,FracStart,FracEnd,OperatorName,ServiceCompany,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,TotalFracMass,TotalBaseWaterVolumeMass,TotalProppantMass,FluidSystem,ProppantMaterial,CrosslinkFluid,SurfactantPresent,ScaleInhibitorPresent,ClayControlPresent,ClayControlAgent,AcidTreatmentPresent
c8c5559e-db15-4fc8-b434-d0c58d7641c1,4237138882,5/17/2012 12:00:00 AM,5/17/2012 12:00:00 AM,"Jilpetco, Inc.",Chemplex,,64988,,594192.7,541350.1,49910.11,Slickwater,Natural Sand,,True,False,True,Choline Chloride,False
7f25eadd-ca36-403e-8d8c-6cab7b40dba0,4237138862,4/19/2012 12:00:00 AM,4/19/2012 12:00:00 AM,Apache Corporation,"Chemplex, L.C.",,,,,,0,Crosslink,Natural Sand,,True,False,False,,True
5559ed1e-57e7-48a6-bcac-8311f1a4441b,4237137016,3/18/2016 8:38:00 AM,3/18/2016 1:27:00 PM,"Nemo Fund I, LLC",Ace Completions,,256286,3778,2206458,2134862,58020,Slickwater,Natural Sand,,True,False,False,,True
54805f49-7d46-4f00-b325-98e04c4f3666,4237139038,5/23/2013 12:00:00 AM,5/23/2013 12:00:00 AM,Incline Energy,Advanced Stimulation Technologies,,211134,0,1907409,1761913,141360,Crosslink,Natural Sand,Borate Based,True,False,False,,False
f623101e-60d1-4ec5-9e0f-74768c667d12,4237139206,9/30/2014 12:00:00 AM,10/6/2014 12:00:00 AM,"Brigham Resources Operating, LLC",Blue Ribbon,,1.2112E+07,0,1.093096E+08,1.003512E+08,8730950,Slickwater,Natural Sand,,True,False,True,Choline Chloride,True
f3a1f616-16dd-4831-832a-3685b70dc193,4237138980,7/23/2013 5:48:00 AM,7/23/2013 6:57:00 PM,"ExL Petroleum, LP",ASK,,857284,56258,8157254,7141176,859244,Crosslink,Natural Sand,Borate Based,True,False,False,,True
4cd9d866-6157-4b3e-be15-b012a852a241,4237139227,2/3/2015 12:00:00 AM,2/5/2015 12:00:00 AM,Occidental Oil and Gas,Nabors Completion and Production Services,,1698606,0,1.584896E+07,1.414939E+07,0,Linear,Natural Sand,,True,False,True,Water,True
017414d3-3ab4-43b6-beda-f166512cf4fe,4237138866,8/3/2012 12:00:00 AM,8/3/2012 12:00:00 AM,XTO Energy/ExxonMobil,Halliburton,,,,,,0,Crosslink,Natural Sand,,True,False,True,"Polyepichlorohydrin, trimethyl",True
eecb80be-38f3-4390-9a88-365632f4306b,4237139002,3/11/2013 10:27:00 AM,3/15/2013 12:47:00 PM,COG Operating LLC,SNF,,3511685,-108229,3.318786E+07,2.925234E+07,3249626,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline),True
5ee0dc7f-45da-40e5-b560-4d6ef2b15c3c,4237138830,2/8/2012 12:00:00 AM,2/9/2012 12:00:00 AM,"Brigham Resources Operating, LLC",FTSI,,908082,0,8485342,7564323,759048.2,Crosslink,Natural Sand,Borate Based,True,False,True,Sodium chloride,True
4242947b-f320-462c-a13c-89ba4c515715,4237133539,2/24/2015 12:00:00 AM,2/26/2015 12:00:00 AM,"Caird Operating, LLC","Chemplex, L.C.",,2892433,0,2.748353E+07,2.409397E+07,3356422,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline Chloride),False
1d10eee4-63ef-4f7e-9c8b-2cbfabc890c0,4237138955,5/30/2013 9:57:00 AM,6/11/2013 10:25:00 PM,Apache Corporation,"Chemplex, L.C.",,1154874,64974,1.066352E+07,9620100,734275,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline),True
b71df8a0-79d5-4686-bc54-f90338fcfff7,4237139235,4/26/2015 12:00:00 AM,4/28/2015 12:00:00 AM,Occidental Oil and Gas,Blue Ribbon Technology,,1739682,0,8167908,5831531,2026200,Slickwater,Natural Sand,,True,False,True,Choline Chloride,True
28270559-81db-4cc3-8654-9f7c2343d9b5,4237138967,7/9/2013 10:08:00 AM,7/10/2013 3:27:00 PM,"ExL Petroleum, LP","Chemplex, L.C.",,1282550,101644,1.237073E+07,1.068364E+07,1298295,Crosslink,Natural Sand,Borate Based,True,False,True,Non-hazardous salts(Choline),True
75abd506-ebbb-4763-8785-71116dc7f75a,4237139348,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,"FLAMINGO OPERATING, LLC",Producers Service Corp,,269892,0,2425840,2235425,177000,Crosslink,Natural Sand,Borate Based,True,False,True,Sodium Chloride,True
3015332a-762a-4fde-bdce-3588712d531a,4237139366,1/27/2016 12:00:00 AM,2/8/2016 12:00:00 AM,"Samson Exploration, LLC",Halliburton,,3.417574E+07,0,3.074374E+08,2.850248E+08,0,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
898ac4b2-d50f-46fd-9d73-c73a6384b83b,4237139359,12/1/2015 12:00:00 AM,12/18/2015 12:00:00 AM,"Samson Exploration, LLC",Archer,,3.651463E+07,0,3.265884E+08,3.047146E+08,2.181731E+07,Crosslink,Natural Sand,,True,False,False,,True
17e6bb97-ec0a-4f8e-88d2-e727dbaeada8,4237139211,12/1/2014 12:00:00 AM,12/1/2014 12:00:00 AM,Henry Resources LLC,Catalyst,,59976,0,587047.1,500499.7,73200,Crosslink,Natural Sand,,True,False,False,,True
eb7940b5-1532-4cf0-947a-57bc76491db6,4237138999,5/2/2014 12:00:00 AM,8/12/2014 12:00:00 AM,"Marshall & Winston, Inc.",Economy Polymers,,1633968,0,1.483665E+07,1.363546E+07,909579,Crosslink,Natural Sand,,True,False,True,Sodium Chloride,True
d1385976-3d8e-42e8-94c9-73435c92faa1,4237138891,8/17/2012 12:00:00 AM,8/17/2012 12:00:00 AM,Forest Oil Corporation,FTSI,,,,,,0,Crosslink,Natural Sand,Borate Based,True,False,False,,True
3e4dff28-74e5-4b0d-9021-958ff0e4f656,4237139294,1/28/2015 12:00:00 AM,2/6/2015 12:00:00 AM,"Brigham Resources Operating, LLC",Chemplex,,1.441528E+07,0,1.296287E+08,1.200793E+08,8492715,Crosslink,Natural Sand,Borate Based,True,False,True,No hazardous ingredients per MSDS,True
598b6eba-30f2-4967-990c-509675ac1ef6,4237138924,5/20/2012 12:00:00 AM,5/20/2012 12:00:00 AM,"Dominion Natural Resources, LLC","Chemplex ",,17052,0,164371.8,143201.5,20000,Linear,Natural Sand,,True,False,True,Choline Chloride,True
e375546e-b932-4250-a135-fe96e754c85d,4237138969,3/11/2013 5:00:00 AM,3/12/2013 1:18:00 AM,Whiting Petroleum,Chemplex,,793674,0,7845313,6619241,1021636,Crosslink,Natural Sand,Borate Based,True,False,False,,True
bdb14631-9cde-4606-b2e3-0c2766679141,4237138880,5/18/2012 12:00:00 AM,5/18/2012 12:00:00 AM,"Jilpetco, Inc.","Chemplex ",,35028,0,336476.2,292308.7,40000,Linear,Natural Sand,,True,False,True,Choline Chloride,True
b88b009f-1fe2-4be1-89c3-00672eb520ca,4237110863,4/14/2015 12:00:00 AM,4/17/2015 12:00:00 AM,"Caird Operating, LLC","Chemplex, L.C.",,3486906,0,3.356511E+07,2.904593E+07,4004740,Crosslink,Natural Sand,Borate Based,True,False,False,,True
17ce9c1c-1ed5-44af-8249-488ba9d3e196,4237139128,4/2/2014 7:22:00 AM,4/4/2014 6:07:00 PM,"Burnett Oil Co., Inc.","Chemplex, L.C.",,3731815,65489,3.23176E+07,3.108602E+07,1041980,Slickwater,Natural Sand,,True,False,False,,True
a85aa1e6-6cf9-4b75-8194-6c6065eff052,4237139162,6/25/2014 12:00:00 AM,6/26/2014 12:00:00 AM,Three Rivers Operating Co II LLC,ASK,,1366999,73601,1.279342E+07,1.13871E+07,1225078,Crosslink,Natural Sand,,True,False,True,Sodium Chloride,True
1e96283e-053a-4be1-ae04-58e809084d94,4237139280,2/5/2015 12:00:00 AM,2/14/2015 12:00:00 AM,"Brigham Resources Operating, LLC",Precision,,1.573219E+07,0,1.417489E+08,1.312851E+08,1.015036E+07,Slickwater,Natural Sand,,True,False,True,Potassium Chloride Salt,False
396a68c3-deb9-479b-aed3-fb67f4de8c87,4237139213,10/20/2014 12:00:00 AM,10/31/2014 12:00:00 AM,"Brigham Resources Operating, LLC",Blue Ribbon,,2.508658E+07,0,2.224393E+08,2.081997E+08,1.374159E+07,Crosslink,Natural Sand,Borate Based,True,False,True,Choline Chloride,True
327ae9a4-0068-49d7-b504-eb77e882734f,4237139214,9/2/2014 12:00:00 AM,9/2/2014 12:00:00 AM,PPC Operating Company LLC,"Chemplex ",,18425,0,182253.9,153756.6,26200,Crosslink,Natural Sand,Borate Based,True,False,True,Choline Chloride,False
082de1c2-8e2a-4952-8c85-570760011dc5,4237139397,,,,,,,,,,,,,,False,False,False,,False
eadd7a60-7a43-4ef5-9cd5-52839c7a7aa1,4237139345,1/10/2016 12:00:00 AM,1/22/2016 12:00:00 AM,"Brigham Resources Operating, LLC",Sanjel,,2.519605E+07,0,2.283826E+08,2.101E+08,1.766418E+07,Linear,Natural Sand,,True,False,True,No hazardous ingredients,True
a258a21a-8655-4ec6-adad-ee9e7506f543,4237139143,3/25/2014 1:03:00 PM,3/30/2014 4:38:00 PM,COG Operating LLC,"Chemplex, L.C.",,7480953,410973,6.937873E+07,6.231634E+07,5690782,Linear,Natural Sand,,True,False,True,Non-hazardous salts(Choline Chloride),True
e5667d11-732c-4577-aabb-0da0b576a351,4237139029,9/26/2013 12:00:00 AM,9/26/2013 12:00:00 AM,"Jilpetco, Inc.",Chemplex,,87360,,781758.4,727708.8,49910.11,Slickwater,Natural Sand,,True,False,True,Choline Chloride,True
