Api,Wellid,Reservoir,Cumulativeoil,Cumulativegas,Cumulativeboe,Cumulativewater,Cumulativedays,Firstproddate,Lastproddate,Lasttestdate,Ipoil,Ipgas,Firstthreemonthoil,Firstthreemonthmaxoil,Firstthreemonthoildecline,Firstthreemonthgas,Firstthreemonthmaxgas,Firstthreemonthgasdecline,Firstthreemonthboe,Firstthreemonthmaxboe,Firstthreemonthboedecline,Firstthreemonthwater,Firstthreemonthmaxwater,Firstthreemonthwaterdecline,Firstthreemonthdays,Firstsixmonthoil,Firstsixmonthoildecline,Firstsixmonthgas,Firstsixmonthgasdecline,Firstsixmonthboe,Firstsixmonthboedecline,Firstsixmonthwater,Firstsixmonthwaterdecline,Firstsixmonthdays,Firsttwelvemonthoil,Firsttwelvemonthoildecline,Firsttwelvemonthgas,Firsttwelvemonthgasdecline,Firsttwelvemonthboe,Firsttwelvemonthboedecline,Firsttwelvemonthwater,Firsttwelvemonthwaterdecline,Firsttwelvemonthdays,Firsttwentyfourmonthoil,Firsttwentyfourmonthoildecline,Firsttwentyfourmonthgas,Firsttwentyfourmonthgasdecline,Firsttwentyfourmonthboe,Firsttwentyfourmonthboedecline,Firsttwentyfourmonthwater,Firsttwentyfourmonthwaterdecline,Firsttwentyfourmonthdays,Firstthirtysixmonthoil,Firstthirtysixmonthoildecline,Firstthirtysixmonthgas,Firstthirtysixmonthgasdecline,Firstthirtysixmonthboe,Firstthirtysixmonthboedecline,Firstthirtysixmonthwater,Firstthirtysixmonthwaterdecline,Firstthirtysixmonthdays,Firstsixtymonthoil,Firstsixtymonthoildecline,Firstsixtymonthgas,Firstsixtymonthgasdecline,Firstsixtymonthboe,Firstsixtymonthboedecline,Firstsixtymonthwater,Firstsixtymonthwaterdecline,Firstsixtymonthdays,Maxmonthoil,Maxoilmonthdays,Maxoilmonth,Maxoilmonthnumber,Maxmonthgas,Maxgasmonthdays,Maxgasmonth,Maxgasmonthnumber,Maxmonthboe,Maxboemonthdays,Maxboemonth,Maxboemonthnumber,Maxmonthwater,Maxwatermonthdays,Maxwatermonth,Maxwatermonthnumber,Maxthreemonthoil,Maxoilthreemonthdays,Maxthreemonthgas,Maxgasthreemonthdays,Maxthreemonthboe,Maxboethreemonthdays,Maxthreemonthwater,Maxwaterthreemonthdays,Maxsixmonthoil,Maxoilsixmonthdays,Maxsixmonthgas,Maxgassixmonthdays,Maxsixmonthboe,Maxboesixmonthdays,Maxsixmonthwater,Maxwatersixmonthdays,Maxtwelvemonthoil,Maxoiltwelvemonthdays,Maxtwelvemonthgas,Maxgastwelvemonthdays,Maxtwelvemonthboe,Maxboetwelvemonthdays,Maxtwelvemonthwater,Maxwatertwelvemonthdays,Lastsixmonthoil,Lastsixmonthoildecline,Lastsixmonthgas,Lastsixmonthgasdecline,Lastsixmonthboe,Lastsixmonthboedecline,Lastsixmonthwater,Lastsixmonthwaterdecline,Lastsixmonthdays,Lasttwelvemonthoil,Lasttwelvemonthoildecline,Lasttwelvemonthgas,Lasttwelvemonthgasdecline,Lasttwelvemonthboe,Lasttwelvemonthboedecline,Lasttwelvemonthwater,Lasttwelvemonthwaterdecline,Lasttwelvemonthdays,Datecreated,Datelastmodified,Totalproducingdays,Totalproducingmonths,Firstmonthoil,Firstmonthgas,Firstmonthwater,Firstmonthboe,Lastmonthoil,Lastmonthgas,Lastmonthwater,Lastmonthboe,Eurboe,Euroil,Eurgas,Eurwater,Firsttwomonthoil,Firsttwomonthmaxoil,Firsttwomonthoildecline,Firsttwomonthgas,Firsttwomonthmaxgas,Firsttwomonthgasdecline,Firsttwomonthboe,Firsttwomonthmaxboe,Firsttwomonthboedecline,Firsttwomonthwater,Firsttwomonthmaxwater,Firsttwomonthwaterdecline,Firsttwomonthdays
4237136015,8c8d4414-42f8-4e16-b047-001d431996a1,7-RIVERS,295981.869812012,1455822.61035156,538618.973754883,1309804,11139,1/1/1988 12:00:00 AM,6/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,11,10,5904,2426.52221679688,15.742057847321,85393,3088.15869140625,47.1851851851852,20136.1669921875,,31.8386391479284,0,15215.7001953125,0,91,11962,15.742057847321,129172,62.4501424501424,33490.66796875,45.1204013086731,0,0,182,23979,15.742057847321,197811,70.1880341880342,56947.5014648438,51.252130588698,0,0,366,43921,32.1479374110953,304175,76.977207977208,94616.8349609375,63.3844695960895,0,0,731,59796,44.2863916548127,393255,80.957264957265,125338.501953125,68.8868493509899,0,0,1096,87314,49.8814604077762,544004,83.7635327635328,177981.335205078,73.5697751153386,0,0,1827,2109,31,3/1/1988 12:00:00 AM,3,35100,31,1/1/1988 12:00:00 AM,1,7627,31,1/1/1988 12:00:00 AM,1,81742,31,3/1/2017 12:00:00 AM,351,2109,31,35100,31,7627,31,0,31,2109,31,35100,31,7627,31,0,31,2109,31,35100,31,7627,31,0,31,8796.98980712891,45.1770127946667,31463.2106933594,46.8505876366315,14040.8583984375,45.7974523359288,454617,11.5388433854554,181,17860.8698120117,45.1770127946667,66813.6103515625,52.3588350243053,28996.4719238281,45.7974523359288,918918,11.5388433854554,365,11/22/2017 3:07:39 AM,8/11/2018 9:50:49 PM,11139,366,1777,35100,0,7627,935.789978027344,3206.86010742188,73994,1470.2666015625,538618.971537272,295981.869812012,1455822.61035156,1309804,3795,2426.52221679688,11.9425173439049,66855,3088.15869140625,9.52991452991453,14937.5,,4.14973121804118,0,15215.7001953125,0,60
4237110863,b88b009f-1fe2-4be1-89c3-00672eb520ca,TREND AREA,59880,169117,88066.1668357849,183458,4870,9/1/2004 12:00:00 AM,5/1/2018 12:00:00 AM,6/15/2018 12:00:00 AM,0,37,1,1,100,11660,6003,84.6743295019157,1944.33332824707,,84.5743799853003,0,162,0,91,1,100,16286,84.6743295019157,2715.33332824707,84.5743799853003,0,0,181,1,100,23801,88.5723804764285,3967.83332061768,88.5723802222424,0,0,365,1,100,34626,93.8030984507746,5772.00000762939,93.8030984507746,0,0,730,1,100,41656,97.4012993503248,6943.66668319702,97.4012993503248,25,100,1095,3,100,52187,97.4012993503248,8700.833360672,97.4012993503248,25,100,1826,6506,31,5/1/2015 12:00:00 AM,124,6003,31,10/1/2004 12:00:00 AM,2,6506,31,5/1/2015 12:00:00 AM,124,15087,30,6/1/2015 12:00:00 AM,125,1,30,6003,31,1000.5,31,0,30,1,30,6003,31,1000.5,31,0,30,1,30,6003,31,1000.5,31,0,30,6061,86.7414248021108,12126,80.2609568417531,8081.99996948242,84.6351261994434,18254,100,182,12016,97.4274406332454,31508,85.4965585054081,17267.3332214355,86.9364356925873,39046,100,365,10/20/2017 5:16:09 AM,9/5/2018 8:19:09 PM,4870,160,1,920,0,154.33332824707,833,1344,0,1057,165403.364914318,108393.553029879,342058.871306638,497716.566188576,1,1,100,6923,6003,84.6743295019157,1154.83332824707,,84.5743799853003,0,162,0,61
4237138921,c89d457e-65ab-4db9-9ce3-007fd25ed0cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/10/2018 4:18:19 PM,3/10/2018 4:18:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237134971,5f6b477c-3227-4f12-b003-00c00df9760a,SEVEN RIVERS,395237.540893555,804887.826965332,529385.511962891,1423590.1875,11505,10/1/1984 12:00:00 AM,3/1/2016 12:00:00 AM,1/1/2016 12:00:00 AM,0,0,12891.5561523438,4366.91748046875,3.69807077740831,4874.93774414063,1688.22290039063,8.58868907575907,13704.0458984375,,3.83986446732595,80216.20703125,27014.54296875,2.97794605133838,92,24753.017578125,17.0924476882347,9620.94616699219,14.063362034869,26356.5087890625,16.7755983950211,153716.8046875,17.0030234004456,182,47754.8625488281,18.453393864804,20170.1617431641,25.5392264229718,51116.556640625,17.7987429853719,295792.021484375,18.2969228235428,365,87855.2668457031,32.2761626473551,44005.4865722656,38.501411444034,95189.5151367188,28.438793345078,545518.19921875,31.9098668353258,730,120043.429443359,45.0858656623112,75835.3688964844,49.4858337689137,132682.657714844,38.3165092382242,746400.629882813,44.5111342660775,1095,171301.997924805,60.4390678448701,157159.78515625,64.2788852002524,197495.295410156,48.6421533803627,1067353.421875,60.0307805850524,1826,4366.91748046875,31,10/1/1984 12:00:00 AM,1,4323.59814453125,30,11/1/1992 12:00:00 AM,98,4640.83203125,31,10/1/1984 12:00:00 AM,1,27014.54296875,31,12/1/1984 12:00:00 AM,3,4366.91748046875,31,1688.22290039063,31,4640.83203125,31,27014.54296875,31,4366.91748046875,31,1688.22290039063,31,4640.83203125,31,27014.54296875,31,4366.91748046875,31,1948.4111328125,31,4640.83203125,31,27014.54296875,31,2056.60748291016,11.8764055377343,7415.50512695313,11.8938055549782,3292.52496337891,11.1931734383911,0,0,183,4116.42684936523,11.8764055377343,14481.7276611328,15.5077237152352,6530.04803466797,11.1931734383911,0,0,366,11/22/2017 3:09:17 AM,11/22/2017 3:09:17 AM,11505,378,4366.91748046875,1643.48815917969,26991.599609375,4640.83203125,345.380920410156,1252.20886230469,0,554.082397460938,529385.512054443,395237.540893555,804887.826965332,1423590.1875,8572.34326171875,4366.91748046875,3.69807077740831,3186.71484375,1643.48815917969,6.10052917323228,9103.46240234375,,3.83986446732595,53201.6640625,26991.599609375,2.89547550927122,61
4237139021,5e09a244-0d72-4061-b029-00d7997fddf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/10/2018 4:18:11 PM,3/10/2018 4:18:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237138507,43037067-c591-446a-9d51-00f85c45f18b,WOLFCAMP,1386,8971,2881.16666984558,24893,913,7/1/2009 12:00:00 AM,10/1/2012 12:00:00 AM,3/26/2011 12:00:00 AM,0,5,33,31,96.7741935483871,6440,3951,100,1106.33334350586,,99.8549673676577,0,3951,0,92,45,96.7741935483871,8359,100,1438.16667175293,99.8549673676577,0,0,185,563,100,8971,100,2058.16666984558,99.8549673676577,7610,100,363,1215,100,8971,100,2710.16666984558,99.8549673676577,21302,100,729,,,,,,,,,,,,,,,,,,,326,30,4/1/2011 12:00:00 AM,12,3951,31,7/1/2009 12:00:00 AM,1,689.5,31,7/1/2009 12:00:00 AM,1,6846,30,4/1/2011 12:00:00 AM,12,31,31,3951,31,689.5,31,0,31,31,31,3951,31,689.5,31,0,31,326,30,3951,31,689.5,31,6846,30,171,97.1014492753623,0,0,171,97.1014492753623,3591,97.1014492753623,184,410,97.1014492753623,0,0,410,97.1014492753623,8610,97.1014492753623,366,11/22/2017 3:18:09 AM,6/22/2018 3:33:57 AM,913,30,31,3951,0,689.5,2,0,42,2,3684.78836145305,2169.3715463181,9092.50089080965,41343.8024726802,32,31,96.7741935483871,6440,3951,37.0032903062516,1105.33334350586,,39.6905955756549,0,3951,0,62
4237139150,e29ca031-75da-47ff-af7f-01d23bd63796,PERMIAN-GENERAL,0,437366,72894.3330028057,0,1522,6/1/2014 12:00:00 AM,7/1/2018 12:00:00 AM,5/5/2016 12:00:00 AM,0.100000001490116,527,0,1,0,71865,36072,86.4548680416944,11977.4998168945,,86.4548683801018,0,3345,0,92,0,0,139666,86.4548680416944,23277.6663208008,86.4548683801018,0,0,183,0,0,224856,86.4548680416944,37475.9996948242,86.4548683801018,0,0,365,0,0,332094,86.4548680416944,55348.9996948242,86.4548683801018,0,0,731,0,0,405922,99.9556442670215,67653.6663005352,99.9556442656996,0,0,1096,,,,,,,,,,0,30,6/1/2014 12:00:00 AM,1,36072,31,7/1/2014 12:00:00 AM,2,6012,31,7/1/2014 12:00:00 AM,2,0,30,6/1/2014 12:00:00 AM,1,0,30,36072,31,6012,31,0,30,0,30,36072,31,6012,31,0,30,0,30,36072,31,6012,31,0,30,0,0,9850,59.1457753017642,1641.66667175293,59.1457738849778,0,0,181,0,0,24142,76.5339966832504,4023.66667175293,76.5339966832504,0,0,365,10/20/2017 6:15:26 AM,10/20/2017 6:15:26 AM,1522,50,0,4886,0,814.333312988281,0,880,0,146.66667175293,77680.5385800312,0,466083.231480187,0,0,1,0,40958,36072,86.4548680416944,6826.33331298828,,86.4548683801018,0,3345,0,61
4237138958,311abdcf-b135-42e9-a794-02107ae53b29,TREND AREA,80617,108242,98657.3342256546,474028,2069,12/1/2012 12:00:00 AM,7/1/2018 12:00:00 AM,7/5/2017 12:00:00 AM,735,736,21482,3548,68.7346221441125,25086,4022,55.6234915526951,25663.0004882813,,66.7154004132416,193023,0,84.07387170801,90,29342,79.9912126537785,38668,70.2654867256637,35786.6672363281,78.4933718498963,242538,90.1657378064328,182,38811,91.5114235500879,51070,88.0530973451327,47322.6672363281,90.9788132526268,289509,96.0303063417477,365,54373,97.5131810193322,70694,93.3467417538214,66155.3339233398,96.8715155286501,359320,98.4147452008888,730,66447,97.5131810193322,87873,95.3982300884956,81092.5009155273,96.8715155286501,413677,98.4147452008888,1095,79423,99.103690685413,107437,97.2807723250201,97329.1675720215,98.6123158073824,470666,99.3122791680326,1826,11380,31,12/1/2012 12:00:00 AM,1,12430,31,12/1/2012 12:00:00 AM,1,13451.6669921875,31,12/1/2012 12:00:00 AM,1,137265,31,12/1/2012 12:00:00 AM,1,11380,31,12430,31,13451.6669921875,31,137265,31,11380,31,12430,31,13451.6669921875,31,137265,31,11380,31,12430,31,13451.6669921875,31,137265,31,760,100,468,90.1408450704225,837.999997138977,98.8950276767075,2060,96.1864406779661,181,3195,100,2265,96.4912280701754,3572.49999713898,99.4813485319639,9244,98.6391129032258,365,10/20/2017 6:11:45 AM,10/20/2017 6:11:45 AM,2069,68,11380,12430,137265,13451.6669921875,0,27,45,4.5,99348.294621016,81012.0818976599,110017.276340137,494614.989315954,17924,3548,42.4956063268893,19570,4022,42.5583266291231,21185.6669921875,,42.5052671576558,171162,0,75.3054311004262,62
4237131515,0aa19744-f7d9-4d2d-8c65-0249799d06a2,DEVONIAN,0,889117,148186.16671133,11420,2343,8/1/1976 12:00:00 AM,5/1/1983 12:00:00 AM,,,,0,0,0,79571,28025,14.0267618198037,13261.8337402344,,14.0267630733315,304,107,14.018691588785,92,0,0,182526,38.9081873272649,30421.0002441406,38.9081845764826,696,38.6666666666667,184,0,0,393475,38.9081873272649,65579.1672363281,38.9081845764826,1501,38.6666666666667,365,0,0,669193,98.7271482542661,111532.166786194,98.7271482614382,2628,96,730,0,0,783155,99.5030299956895,130525.833423615,99.5030299640391,4807,99.3562231759657,1096,0,0,878622,99.5030299956895,146437.00006485,99.5030299640391,10912,99.6138996138996,1827,0,31,8/1/1976 12:00:00 AM,1,39439,31,12/1/1976 12:00:00 AM,5,6573.16650390625,31,12/1/1976 12:00:00 AM,5,777,30,6/1/1980 12:00:00 AM,44,0,31,28025,31,4670.83349609375,31,107,31,0,31,39439,31,6573.16650390625,31,150,31,0,31,39439,31,6573.16650390625,31,150,31,0,0,2259,95.5497382198953,376.499997615814,95.5497384336035,94,97.3684210526316,182,0,0,6960,96.0326721120187,1159.99998235703,96.0326720820236,330,97.6744186046512,365,11/22/2017 3:17:44 AM,11/22/2017 3:17:44 AM,2343,77,0,28025,107,4670.83349609375,0,409,12,68.1666641235352,149151.048349554,0,894906.290097325,11524.7528067122,0,0,0,52119,28025,14.0267618198037,8686.50024414063,,14.0267630733315,199,107,14.018691588785,61
4237134270,27546e7f-e902-47cd-97c2-028583bb8d15,7-RIVERS,481499.379943848,294774.304931641,530628.430541992,40094,12845,5/1/1983 12:00:00 AM,6/1/2018 12:00:00 AM,2/13/2018 12:00:00 AM,37.0999984741211,217,10097,6101.39599609375,100,2532,1506.80187988281,100,10519,,100,0,37180.828125,0,92,24352,100,4083,100,25032.5,100,0,0,184,50345,100,6837,100,51484.5,100,0,0,366,96512,100,11627,100,98449.8327636719,100,0,0,731,135188,100,15866,100,137832.333496094,100,0,0,1096,193421,100,23521,100,197341.166748047,100,0,0,1827,5076,31,7/1/1983 12:00:00 AM,3,7425.64013671875,31,12/1/2017 12:00:00 AM,416,5293,31,7/1/1983 12:00:00 AM,3,1719,30,6/1/2007 12:00:00 AM,290,5076,31,1302,31,5293,31,0,31,5076,31,1302,31,5293,31,0,31,5076,31,1302,31,5293,31,0,31,8695.02996826172,41.7240140203086,29795.9704589844,68.0416883743137,13661.0252685547,52.3223468327401,542,15.4639175257732,181,17865.3799438477,44.669719867952,61722.7502441406,70.0785377891518,28152.5050048828,55.14053106517,1140,23.5849056603774,365,10/22/2017 7:41:02 PM,7/30/2018 11:01:52 AM,12845,422,0,0,0,0,935.789978027344,2221.86010742188,93,1306.09997558594,530628.430765788,481499.379943848,294774.304931641,40094,5021,6101.39599609375,100,1230,1506.80187988281,100,5226,,100,0,37180.828125,0,61
