API,WellId,CompletionDate,PackerDepth,TubingLowerDepth,TubingSize,TubingUpperDepth
4237139500,223167e8-cb1f-439c-b291-aa4022ea400c,8/12/2017 12:00:00 AM,4093,,2 3/8,4097
4237139501,7ccd0fcb-06b7-4370-90b5-38014b42ba17,6/13/2017 12:00:00 AM,0,,,0
4237139500,223167e8-cb1f-439c-b291-aa4022ea400c,5/26/2017 12:00:00 AM,0,,,0
4237139129,f9cc28a3-bb75-4237-9a78-1e574a709b11,5/11/2015 12:00:00 AM,0,,2 3/8,1638
4237106103,fd2224c7-19b6-4f5f-a620-959c89494b67,10/30/2017 12:00:00 AM,0,,2 3/8,1832
4237134723,0ed361c7-9405-4d36-a6fe-645bcbb2faf3,11/1/2017 12:00:00 AM,0,,2 3/8,2165
4237139459,039cc511-60d6-4e90-b444-d350adb24a56,7/9/2017 12:00:00 AM,0,,4 1/2,9749
4237131048,afdcefec-1ca4-4c0b-9ddb-35324e470b2f,8/27/1992 12:00:00 AM,0,,2 7/8,3230
4237133866,bc681f9c-692c-4e53-9e86-53ddb86f3dcf,1/13/2017 12:00:00 AM,0,,2 3/8,1857
4237133866,bc681f9c-692c-4e53-9e86-53ddb86f3dcf,10/24/2014 12:00:00 AM,0,,2 3/8,1503
4237133866,bc681f9c-692c-4e53-9e86-53ddb86f3dcf,10/24/2014 12:00:00 AM,0,,,0
4237133866,bc681f9c-692c-4e53-9e86-53ddb86f3dcf,2/23/1996 12:00:00 AM,0,,2 3/8,1603
4237103037,68101fc6-ad0c-4edc-89b0-53f450f55cee,12/9/2014 12:00:00 AM,14000,,2 3/8,14020
4237133858,f91a4a67-9b4d-4958-8cbf-53ffaf2b085e,12/7/2010 12:00:00 AM,0,,2 3/8,1555
4237133858,f91a4a67-9b4d-4958-8cbf-53ffaf2b085e,1/13/1992 12:00:00 AM,1289,,2 3/8,1432
4237104255,40840a26-2b57-4a80-9059-5488be984232,5/8/2010 12:00:00 AM,0,,2 3/8,0
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,,0,,2 3/8,2004
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,5/29/2013 12:00:00 AM,0,,2 3/8,2011
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,7/4/1996 12:00:00 AM,0,,2 3/8,1899
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,9/13/2013 12:00:00 AM,0,,2 3/8,2259
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,9/16/1996 12:00:00 AM,0,,2 3/8,1899
4237135731,3e055059-8057-4fab-b092-548ac1a61c85,4/24/1986 12:00:00 AM,1732,,2 3/8,1832
4237100734,444ba26f-b0b9-470c-9983-54e963d7c524,12/23/2013 12:00:00 AM,1339,,2 7/8,1374
4237135446,06cc00f9-0b1e-44c2-ad2f-554feddbd094,6/27/1985 12:00:00 AM,0,,2 7/8,1456
4237135446,06cc00f9-0b1e-44c2-ad2f-554feddbd094,1/29/1998 12:00:00 AM,0,,2 3/8,1334
4237135446,06cc00f9-0b1e-44c2-ad2f-554feddbd094,1/31/1998 12:00:00 AM,0,,2 3/8,1535
4237135446,06cc00f9-0b1e-44c2-ad2f-554feddbd094,3/3/2016 12:00:00 AM,0,,2 3/8,1810
4237132826,49cd1a11-2598-4caf-b9ca-55785b664e57,11/23/1995 12:00:00 AM,0,,2 3/8,1881
4237132826,49cd1a11-2598-4caf-b9ca-55785b664e57,10/8/1994 12:00:00 AM,0,,2 3/8,1857
4237132826,49cd1a11-2598-4caf-b9ca-55785b664e57,,0,,2 3/8,2005
4237136054,975e1bec-c847-45f7-a6e8-55b4f991c500,,0,,2 3/8,1793
4237136054,975e1bec-c847-45f7-a6e8-55b4f991c500,,0,,2 3/8,1688
4237136054,975e1bec-c847-45f7-a6e8-55b4f991c500,5/16/1988 12:00:00 AM,1430,,2 3/8,1564
4237136054,975e1bec-c847-45f7-a6e8-55b4f991c500,4/20/1994 12:00:00 AM,1454,,2 3/8,1600
4237136054,975e1bec-c847-45f7-a6e8-55b4f991c500,8/13/2015 12:00:00 AM,0,,2 3/8,1677
4237139070,5da5b5d5-39f3-4e0e-a5ea-55d7536031c7,7/26/2013 12:00:00 AM,0,,2 7/8,7425
4237138742,c2600b3b-129f-4272-9963-560b0453a063,12/5/2010 12:00:00 AM,0,,2 3/8,5017
4237138742,c2600b3b-129f-4272-9963-560b0453a063,8/10/2016 12:00:00 AM,0,,,0
4237138742,c2600b3b-129f-4272-9963-560b0453a063,8/10/2016 12:00:00 AM,3564,,2 3/8,3563
4237138978,f34c278c-a956-4590-a134-5637334a1a34,11/29/2012 12:00:00 AM,0,,2 7/8,3960
4237138943,976e221c-3bc4-4637-b314-56f3c28eae30,9/26/2012 12:00:00 AM,0,,2 7/8,7300
4237138999,eb7940b5-1532-4cf0-947a-57bc76491db6,4/2/2014 12:00:00 AM,0,,,0
4237138999,eb7940b5-1532-4cf0-947a-57bc76491db6,4/2/2014 12:00:00 AM,0,,2 7/8,9024
4237133672,3ac430a5-0f3a-4656-8b8a-f7782567401d,9/3/2016 12:00:00 AM,0,,2 3/8,5370
4237133672,3ac430a5-0f3a-4656-8b8a-f7782567401d,8/3/2012 12:00:00 AM,0,,2 3/8,5580
4237138752,dbdb6e38-c46a-4b08-9dbe-4e29ae1777db,2/5/2011 12:00:00 AM,0,,2 3/8,410
4237133655,3b727b45-1715-4d65-8d96-f822dd3e8631,12/4/1993 12:00:00 AM,972,,2 3/8,1580
4237133655,3b727b45-1715-4d65-8d96-f822dd3e8631,,0,,2 3/8,1751
4237133655,3b727b45-1715-4d65-8d96-f822dd3e8631,4/16/2015 12:00:00 AM,0,,2 3/8,1893
4237133655,3b727b45-1715-4d65-8d96-f822dd3e8631,6/6/1997 12:00:00 AM,0,,2 3/8,1631
4237138625,31067bfd-2b31-402d-afdf-cc2411176f45,5/20/2010 12:00:00 AM,0,,2 7/8,7000
4237107761,8f99e3c5-9762-49e5-a35a-f87b15fbd5ac,6/1/1996 12:00:00 AM,0,,2 3/8,1824
4237107761,8f99e3c5-9762-49e5-a35a-f87b15fbd5ac,,0,,2 3/8,1965
4237134739,5a62a69a-af8c-4615-b507-4f39c2ef285c,4/28/1994 12:00:00 AM,1403,,2 3/8,1544
4237138833,2d79045b-4654-4dbe-9da2-cc53e216d2a8,11/3/2011 12:00:00 AM,0,,2 7/8,2041
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,,0,,2 3/8,1760
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,1/17/2017 12:00:00 AM,0,,2 3/8,1808
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,8/23/1996 12:00:00 AM,0,,2 3/8,1653
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,1/6/1994 12:00:00 AM,0,,2 3/8,1490
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,5/12/2010 12:00:00 AM,0,,2 3/8,1710
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,7/4/1997 12:00:00 AM,0,,2 3/8,1537
4237134739,5a62a69a-af8c-4615-b507-4f39c2ef285c,6/14/1984 12:00:00 AM,1384,,2 3/8,1455
4237134739,5a62a69a-af8c-4615-b507-4f39c2ef285c,,0,,2 3/8,1659
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,3/4/1998 12:00:00 AM,0,,2 3/8,1419
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,7/25/1996 12:00:00 AM,0,,2 3/8,1419
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,,0,,2 3/8,1805
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,9/28/1994 12:00:00 AM,1278,,2 3/8,1395
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,9/13/2011 12:00:00 AM,0,,2 3/8,1631
4237138670,07c34477-54f6-4c57-a9e0-4fa60e5ace74,10/26/2010 12:00:00 AM,0,,2 7/8,2803
4237137495,8f549840-26f3-41ef-aa13-ccdd90d3cbfd,4/1/2010 12:00:00 AM,1817,,2 3/8,1817
4237138665,31b2eec5-4b8d-4964-ab16-ccf22b8ee704,10/27/2010 12:00:00 AM,0,,2 7/8,2365
4237139074,95fb78a4-32ac-4f67-84ec-f9522f56706c,10/13/2013 12:00:00 AM,0,,2 7/8,6800
4237133614,ea2b6762-ad99-4d96-81f8-4fecffdcaa37,10/25/2014 12:00:00 AM,0,,2 3/8,1661
4237133614,ea2b6762-ad99-4d96-81f8-4fecffdcaa37,12/17/1993 12:00:00 AM,1353,,2 3/8,1497
4237138854,d43f9470-74dc-4f0b-adf6-cd391c3889ee,9/28/2011 12:00:00 AM,0,,2 3/8,531
4237138854,d43f9470-74dc-4f0b-adf6-cd391c3889ee,9/28/2011 12:00:00 AM,0,,2 3/8,472
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,5/6/1987 12:00:00 AM,0,,3 1/2,1354
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,7/31/1992 12:00:00 AM,0,,3 1/2,1331
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,5/6/1987 12:00:00 AM,0,,3 1/2,1354
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,10/21/2011 12:00:00 AM,0,,3 1/2,1239
4237138924,598b6eba-30f2-4967-990c-509675ac1ef6,5/20/2012 12:00:00 AM,0,,2 3/8,485
4237138924,598b6eba-30f2-4967-990c-509675ac1ef6,8/30/2012 12:00:00 AM,0,,2 3/8,391
4237138686,b73d2ab1-ee07-41d7-8d6e-50d3a57199b8,7/27/2010 12:00:00 AM,0,,2 7/8,1394
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,8/28/2015 12:00:00 AM,0,,2 3/8,1901
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,3/13/2013 12:00:00 AM,0,,2 3/8,1891
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,,0,,2 3/8,1656
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,1/15/1998 12:00:00 AM,0,,2 3/8,1830
4237106405,3179ab80-38c9-4d56-9d0f-cdde2489c1f5,,0,,2 3/8,1330
4237106405,3179ab80-38c9-4d56-9d0f-cdde2489c1f5,9/20/2016 12:00:00 AM,0,,2 3/8,1482
4237139135,c4987317-19eb-4f36-9159-50fb3b4fbfac,7/16/2014 12:00:00 AM,10033,,2 7/8,10033
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,12/2/2010 12:00:00 AM,0,,3 1/2,1437
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,3/7/2016 12:00:00 AM,0,,3 1/2,1281
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,11/15/1985 12:00:00 AM,0,,2 7/8,1412
