API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4232936463,,10690,,,10670,a15dc8e9-b71a-496a-a8a7-fe2aca708ed9
4232936444,,9509,,WOLFCAMP B,9328,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936498,,10270,,WOLFCAMP D,8200,d93f2884-829f-4afd-b814-c546a40d5c01
4232936444,,8245,,UPPER SPRABERRY,7887,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936463,,10530,,,7660,a15dc8e9-b71a-496a-a8a7-fe2aca708ed9
4232936444,,8823,,LOWER SPRABERRY,8532,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232930421,,13361,,,13320,5b03283f-f300-4015-84c3-3c622bed4e23
4232936518,,10372,,WOLFCAMP A,9125,f731eded-2893-4b23-a096-87ee54482ca5
4232936444,,10149,,WOLFCAMP C,9868,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232930421,,12920,,,12874,5b03283f-f300-4015-84c3-3c622bed4e23
4232936518,,8976,,UPPER SPRABERRY,7949,f731eded-2893-4b23-a096-87ee54482ca5
4232936444,,10405,,WOLFCAMP D,10206,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936536,,10615,,UPPER SPRABERRY,8198,ca8ebefc-e86a-42de-8bfc-d5d9e8f53e65
4232936628,,8743,,LOWER SPRABERRY,8612,fe3b3467-3c1f-4b6c-8e66-64f32abef4ac
4232936444,,9251,,WOLFCAMP A,9058,56b82b43-5db2-428e-af4e-c8093e9d8a6a
4232936544,,9846,,WOLFCAMP B,7855,2dc814c7-a294-49fb-b60c-dc81f23559e9
4232936279,,10750,,UPPER SPRABERRY,8240,1fffe9ae-f525-405f-8f86-721230c213f9
4232936628,,8748,,LOWER SPRABERRY,8612,fe3b3467-3c1f-4b6c-8e66-64f32abef4ac
4232936625,,8266,,UPPER SPRABERRY,6988,053f6df9-c9b1-4d01-892c-1e704927006e
4232936625,,8575,,WOLFCAMP A,8460,053f6df9-c9b1-4d01-892c-1e704927006e
4232936539,,10590,,WOLFCAMP D,8200,1db772f7-77d0-4a51-bc7a-3059375c3746
4232936628,,9296,,LOWER SPRABERRY,9071,fe3b3467-3c1f-4b6c-8e66-64f32abef4ac
4232936642,,10100,,UPPER SPRABERRY,7986,b2357fe6-400d-4d86-bc85-2b8bbc26392c
4232936584,,10452,,WOLFCAMP D,8319,20c92d23-06ab-460c-b54c-a22c9212e368
4232936628,,10346,,WOLFCAMP A,9431,fe3b3467-3c1f-4b6c-8e66-64f32abef4ac
4232936625,,10103,,WOLFCAMP D,8660,053f6df9-c9b1-4d01-892c-1e704927006e
4232936628,,10346,,WOLFCAMP D,8612,fe3b3467-3c1f-4b6c-8e66-64f32abef4ac
4232935577,,10069,,LOWER SPRABERRY,8272,f005d10a-b0d0-4934-8232-020b35a3164c
4232936617,,10029,,WOLFCAMP D,9754,74ad8a57-9522-43c2-9383-992b8376a46d
4232935577,,10879,,LOWER SPRABERRY,8272,f005d10a-b0d0-4934-8232-020b35a3164c
4232936637,,10100,,WOLFCAMP D,7913,d9c81107-1616-40ae-88ae-5b34164be8b7
4232936617,,10219,,WOLFCAMP D,10084,74ad8a57-9522-43c2-9383-992b8376a46d
4232936648,,10144,,WOLFCAMP D,7914,f6c9c17e-ac2c-4fb4-903d-67041933446a
4232936617,,10285,,WOLFCAMP D,10254,74ad8a57-9522-43c2-9383-992b8376a46d
4232936617,,8685,,LOWER SPRABERRY,8300,74ad8a57-9522-43c2-9383-992b8376a46d
