API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4237139367,,15223,,,10587,03121c08-8cf0-4b79-9a13-6889878a701f
4237139290,,7492,,,7482,10c57e66-c189-4451-8130-22027b6ff606
4237139290,,7504,,,7496,10c57e66-c189-4451-8130-22027b6ff606
4237139413,,12439,,,7627,4cacf634-bb0b-4ff2-ace2-678339b19db9
4237139315,,9503,,,6952,b8e68783-2023-4645-894d-7f6c6c6a90f2
4237139432,,15497,,,10945,7d892112-3f83-4b45-8d07-75db4a89f582
4237139417,,21312,,,10675,27c75e5b-b0c0-4808-b2f4-ab2374aec215
4237138837,,1635,,,1502,07b88cd0-9fa4-4326-978b-27a8d0be8697
4237139451,,20845,,,10586,1ac0a578-6da0-4c19-80ee-7fb71495f081
4237139288,,9952,,,9526,f89022b5-fbb3-4049-9d29-f9ce7c5a206f
4237138837,,1932,,,1833,07b88cd0-9fa4-4326-978b-27a8d0be8697
4237134610,,2674,,,2631,acb18b67-fb86-48b6-848e-422818efe3fd
4237139425,,16154,,,11282,23bc96fc-445e-4450-9dce-aa522b03eeeb
4237138592,,12902,,,12400,b9e367d1-6855-4457-90b4-43f1960b6fff
4237138592,,15102,,,14750,b9e367d1-6855-4457-90b4-43f1960b6fff
4237138592,,14552,,,14150,b9e367d1-6855-4457-90b4-43f1960b6fff
4237133866,,1604,,,1585,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237139538,,9454,,,5103,859f2b88-e7a8-4caf-ae8d-39dd8ee438fa
4237138592,,13852,,,13450,b9e367d1-6855-4457-90b4-43f1960b6fff
4237133866,,1585,,,1545,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237138592,,15602,,,15300,b9e367d1-6855-4457-90b4-43f1960b6fff
4237133866,,1565,,,1506,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237133866,,0,,,0,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237138632,,5640,,,4960,25af32ef-8c15-4088-a48c-3c2f991c8a71
4237138730,,4058,,,3326,753e5786-6b8b-490f-b414-3a1ec49b4cdb
4237133866,,1518,,,1512,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237139439,,20800,,,10651,fe9a4f3a-07cf-42f7-833d-d144378450ba
4237133866,,1859,,,1555,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237133866,,1514,,,1510,bc681f9c-692c-4e53-9e86-53ddb86f3dcf
4237133021,,3108,,,3095,2c2f1759-212a-48c3-b922-25c050a5cf53
4237133021,,3118,,,2560,2c2f1759-212a-48c3-b922-25c050a5cf53
4237133899,,2065,,,1330,00133a87-1176-411b-8263-e81b93c9ad72
4237132554,,1453,,,1398,2f4b0273-592b-4234-ad68-5c6ee7e499a8
4237133899,,2376,,,0,00133a87-1176-411b-8263-e81b93c9ad72
4237133899,,1322,,,1281,00133a87-1176-411b-8263-e81b93c9ad72
4237132554,,2610,,,1351,2f4b0273-592b-4234-ad68-5c6ee7e499a8
4237139501,,9716,,,4891,7ccd0fcb-06b7-4370-90b5-38014b42ba17
4237133576,,1272,,,1260,c04de4a4-9013-4cad-8586-219b1a999a25
4237139501,,0,,,0,7ccd0fcb-06b7-4370-90b5-38014b42ba17
4237133576,,1272,,,1260,c04de4a4-9013-4cad-8586-219b1a999a25
4237133576,,1421,,,1341,c04de4a4-9013-4cad-8586-219b1a999a25
4237139579,,5510,,,5444,dfa2ef8d-a798-42b2-8a8e-e10d900e0d60
4237133576,,1381,,,1341,c04de4a4-9013-4cad-8586-219b1a999a25
4237139625,,19940,,,10414,b1f5c0d8-8a46-406a-a380-bb0045b9213b
4237133789,,1597,,,1588,2df7218e-a033-4cdf-9421-7ad32877d05e
4237133789,,1739,,,1282,2df7218e-a033-4cdf-9421-7ad32877d05e
4237133789,,1542,,,1521,2df7218e-a033-4cdf-9421-7ad32877d05e
4237133789,,1582,,,1562,2df7218e-a033-4cdf-9421-7ad32877d05e
4237133789,,1542,,,1521,2df7218e-a033-4cdf-9421-7ad32877d05e
4237133789,,2232,,,1534,2df7218e-a033-4cdf-9421-7ad32877d05e
4237139475,,14451,,,9919,9ceea3a8-b118-40f6-a16c-debc069069f7
4237136248,,5199,,,5169,4b27ca97-1c8c-4c92-a9ad-d806fea5cc06
4237138682,,1352,,,1336,bfd8aa9c-776f-4bbd-ba22-2157b4046a5f
4237138682,,1380,,,1360,bfd8aa9c-776f-4bbd-ba22-2157b4046a5f
4237136248,,5199,,,5169,4b27ca97-1c8c-4c92-a9ad-d806fea5cc06
4237138682,,1380,,,1360,bfd8aa9c-776f-4bbd-ba22-2157b4046a5f
4237136512,,2263,,,2036,73f3aa3e-6ac9-458d-88aa-a775c0f20ae9
4237138682,,1380,,,1336,bfd8aa9c-776f-4bbd-ba22-2157b4046a5f
4237138682,,1352,,,1336,bfd8aa9c-776f-4bbd-ba22-2157b4046a5f
4237138633,,6590,,,4744,c4749f02-35af-4d57-b23a-46b8ea1a2e2c
4237138636,,2923,,,2822,1fc4e90c-e941-4dbd-adf5-d2d5303a2a26
4237138652,,10285,,,10220,6d5ba139-58b8-4138-9edc-e59cfc99e268
4237138652,,13332,,,13194,6d5ba139-58b8-4138-9edc-e59cfc99e268
4237138652,,11985,,,11730,6d5ba139-58b8-4138-9edc-e59cfc99e268
4237138733,,3634,,,3128,9a58d965-3516-4144-84ab-2cbb246db249
4237138652,,9939,,,9243,6d5ba139-58b8-4138-9edc-e59cfc99e268
4237138652,,13466,,,13392,6d5ba139-58b8-4138-9edc-e59cfc99e268
4237134731,,1531,,,1476,6caaeed3-0e15-4362-8695-e7dec1cb27be
4237134731,,1687,,,1335,6caaeed3-0e15-4362-8695-e7dec1cb27be
4237134731,,1790,,,1393,6caaeed3-0e15-4362-8695-e7dec1cb27be
4237134731,,1396,,,1384,6caaeed3-0e15-4362-8695-e7dec1cb27be
4237138926,,510,,,506,c5df0ee7-a456-438e-98f3-e970a1be6790
4237134731,,1396,,,1384,6caaeed3-0e15-4362-8695-e7dec1cb27be
4237138926,,478,,,471,c5df0ee7-a456-438e-98f3-e970a1be6790
4237138687,,1403,,,1383,b401fb8f-66fe-4e18-83f3-7604c812676d
4237138687,,1403,,,1383,b401fb8f-66fe-4e18-83f3-7604c812676d
4237133454,,2052,,,1303,a53b7058-5a29-4378-a5a8-5831218c2539
4237133454,,2082,,,1303,a53b7058-5a29-4378-a5a8-5831218c2539
4237138804,,11426,,,7409,af516a73-c75b-4865-bbd1-35bb2c623d7e
4237138777,,690,,,677,f0177293-3948-4d25-9f94-e6f003bd5902
4237132747,,1840,,,1800,1e1643f0-8657-467f-8583-d96d3304f3a0
4237132747,,1756,,,1746,1e1643f0-8657-467f-8583-d96d3304f3a0
4237139143,,14050,,,10228,a258a21a-8655-4ec6-adad-ee9e7506f543
4237132747,,1873,,,1739,1e1643f0-8657-467f-8583-d96d3304f3a0
