Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Toy Story 3,1,103,G,200,168,4028,110307189,415004880,99,89,2010,6,18.5187796588904,19.1138279245123,8.30102525383845,19.843800837162
Alice in Wonderland (2010),1,109,PG,200,126,3739,116101023,334191110,51,55,2010,3,18.5699712579988,19.1138279245123,8.22657347497711,19.6272235729339
Iron Man 2,1,125,PG-13,200,104,4390,128122480,312433331,73,73,2010,5,18.6684972393708,19.1138279245123,8.38708450606922,19.5599016635803
The Twilight Saga: Eclipse,0,124,PG-13,68,114,4468,64832191,300531751,49,60,2010,6,17.9873128126622,18.0350182631404,8.40469616018909,19.5210639669236
Harry Potter and the Deathly Hallows Part 1,1,150,PG-13,125,139,4125,125017372,295983305,78,84,2010,11,18.6439632616103,18.6438242952666,8.32482129876878,19.5058136086707
Inception,1,148,PG-13,160,175,3792,62785337,292576195,86,91,2010,7,17.9552321169149,18.8906843731981,8.24064886337491,19.4942356864396
Despicable Me,1,95,PG,69,196,3602,56397125,251513985,81,82,2010,7,17.8479287399917,18.0496170625615,8.1892445257359,19.3430091523199
Shrek Forever After,1,93,PG,165,112,4386,70838207,238736787,58,54,2010,5,18.0759090599996,18.9214560318649,8.38617292897783,19.2908721933853
How to Train Your Dragon,1,98,PG,165,119,4060,43732319,217581231,98,91,2010,3,17.5935979519396,18.9214560318649,8.30893825259578,19.1980828146303
Tangled,1,100,PG,260,191,3603,48767052,200821936,89,87,2010,11,17.7025654788631,19.3761921889798,8.18952211074809,19.1179291828432
The Karate Kid,1,140,PG,40,105,3740,55665805,176591618,66,67,2010,6,17.8348766025512,17.5043900120782,8.22684089040858,18.9893503818141
Tron Legacy,1,125,PG,170,119,3451,44026211,172062763,51,63,2010,12,17.6002957190665,18.9513089950145,8.146419323098,18.9633698693803
True Grit,1,110,PG-13,38,127,3464,24830443,171243005,96,85,2010,12,17.0275809986462,17.4530967176907,8.15017926968233,18.958594187557
Clash of the Titans (2010),1,118,PG-13,125,112,3802,61235105,163214888,28,40,2010,4,17.9302311941417,18.6438242952666,8.24328252304838,18.9105782218237
Grown Ups,1,102,PG-13,80,126,3534,40506562,162001186,10,63,2010,6,17.5169745436435,18.1975371926382,8.17018565287964,18.9031142141575
Little Fockers,1,98,PG-13,100,86,3675,30833665,148438600,10,35,2010,12,17.2441176705134,18.4206807439524,8.20930841164694,18.8156819626921
Megamind,1,96,PG,130,112,3949,46016833,148415853,72,71,2010,11,17.6445178222982,18.6830450084199,8.28121766128665,18.8155287091376
The Last Airbender,1,103,PG,150,84,3203,40325019,131772187,6,31,2010,7,17.5124826531472,18.8261458520605,8.07184314960916,18.6965851334847
Shutter Island,1,138,R,80,112,3356,41062440,128012934,69,76,2010,2,17.5306043930208,18.1975371926382,8.1185050675871,18.667641863654
The Other Guys,1,107,PG-13,100,105,3651,35543162,119219978,79,59,2010,8,17.3862583469076,18.4206807439524,8.20275638165564,18.5964808992232
Salt,1,99,PG-13,110,98,3612,36011243,118311368,62,59,2010,7,17.3993417532187,18.5159909237567,8.19201691453688,18.5888304190064
Jackass 3-D,1,94,R,20,98,3139,50353641,117229692,64,70,2010,10,17.7345814883177,16.8112428315183,8.05165955684195,18.5796457477307
Valentine's Day,1,117,PG-13,52,84,3665,56260707,110485654,18,48,2010,2,17.8455069276018,17.7667542765457,8.20658361432075,18.5203962424394
Robin Hood,1,148,PG-13,200,84,3505,36063385,105269730,43,58,2010,5,17.4007886426594,19.1138279245123,8.16194579946869,18.4720364713909
The Chronicles of Narnia: The Voyage of the Dawn Treader,1,112,PG,155,126,3555,24005069,104386950,49,58,2010,12,16.9937755743442,18.8589356748835,8.17611034223734,18.4636152255997
The Expendables,1,103,R,80,70,3398,34825135,103068524,41,64,2010,8,17.3658499541481,18.1975371926382,8.13094230223188,18.4509046065456
Due Date,1,95,R,65,84,3365,32689406,100539043,40,52,2010,11,17.3025616078409,17.9898978278599,8.12118324207883,18.4260566975838
Yogi Bear,1,82,PG,80,112,3515,16411322,100246011,13,34,2010,12,16.6134820204552,18.1975371926382,8.16479480424477,18.4231378328356
Date Night,1,88,PG-13,55,154,3380,25207599,98711404,67,55,2010,4,17.0426560546444,17.8228437431967,8.12563098847707,18.4077110397758
The Social Network,1,120,PG-13,40,154,2921,22445653,96962694,96,86,2010,10,16.9266075231142,17.5043900120782,7.97968130238774,18.3898368645528
Sex and the City 2,1,147,R,100,85,3445,31001870,95347692,15,43,2010,5,17.2495580832107,18.4206807439524,8.14467918344776,18.3730406841593
